"degrees_east","degrees_north","UTC"
-116.38,29.06,2003-08-01
-116.36,29.07,2003-08-02
-116.42,29.18,2003-08-03
-116.57,29.35,2003-08-04
-116.71,29.52,2003-08-05
-116.85,29.68,2003-08-06
-117.02,29.83,2003-08-07
-117.02,29.8,2003-08-08
-117.07,29.8,2003-08-09
-117.11,29.76,2003-08-10
-117.15,29.72,2003-08-11
-117.2,29.68,2003-08-12
-117.2,29.61,2003-08-13
-117.25,29.6,2003-08-14
-117.33,29.61,2003-08-15
-117.39,29.62,2003-08-16
-117.47,29.67,2003-08-17
-117.53,29.72,2003-08-18
-117.58,29.79,2003-08-19
-117.82,30.03,2003-08-20
-118.22,30.4,2003-08-21
-118.61,30.77,2003-08-22
-118.99,31.14,2003-08-23
-119.32,31.46,2003-08-24
-119.57,31.71,2003-08-25
-119.74,31.92,2003-08-26
-119.99,32.22,2003-08-27
-120.24,32.51,2003-08-28
-120.45,32.74,2003-08-29
-120.54,32.92,2003-08-30
-120.69,33.15,2003-08-31
-118.03,27.94,2005-08-01
