"degrees_east","degrees_north","UTC"
-118.78,28.56,2004-02-01
-118.61,28.52,2004-02-02
-118.45,28.44,2004-02-03
-118.41,28.49,2004-02-04
-118.35,28.46,2004-02-05
-118.3,28.45,2004-02-06
-118.18,28.38,2004-02-07
-118.03,28.26,2004-02-08
-118.01,28.26,2004-02-09
-118.09,28.33,2004-02-10
-118.21,28.46,2004-02-11
-118.32,28.59,2004-02-12
-118.29,28.63,2004-02-13
-118.22,28.66,2004-02-14
-118.14,28.63,2004-02-15
-118.1,28.65,2004-02-16
-118.16,28.81,2004-02-17
-118.31,29.08,2004-02-18
-118.39,29.31,2004-02-19
-118.43,29.45,2004-02-20
-118.51,29.63,2004-02-21
-118.54,29.72,2004-02-22
-118.5,29.7,2004-02-23
-118.18,29.42,2004-02-24
-117.76,29.04,2004-02-25
-117.43,28.75,2004-02-26
-116.91,28.26,2004-02-27
-116.4,27.8,2004-02-28
-115.87,27.3,2004-02-29
