longitude,latitude,time
degrees_east,degrees_north,UTC
-117.58,31.74,2008-07-16T00:00:00Z
-117.68,31.79,2008-07-17T00:00:00Z
-117.7,31.85,2008-07-18T00:00:00Z
-117.75,31.92,2008-07-19T00:00:00Z
-117.92,32.01,2008-07-20T00:00:00Z
-118.09,32.13,2008-07-21T00:00:00Z
-118.14,32.25,2008-07-22T00:00:00Z
-118.09,32.34,2008-07-23T00:00:00Z
-118.01,32.41,2008-07-24T00:00:00Z
-117.93,32.42,2008-07-25T00:00:00Z
-117.79,32.47,2008-07-26T00:00:00Z
-117.77,32.52,2008-07-27T00:00:00Z
-117.81,32.61,2008-07-28T00:00:00Z
-117.77,32.66,2008-07-29T00:00:00Z
-117.65,32.64,2008-07-30T00:00:00Z
-117.67,32.69,2008-07-31T00:00:00Z
-117.71,32.73,2008-08-01T00:00:00Z
-117.72,32.79,2008-08-02T00:00:00Z
-117.86,32.87,2008-08-03T00:00:00Z
-117.9,32.93,2008-08-04T00:00:00Z
-118.06,33.01,2008-08-05T00:00:00Z
-118.29,33.08,2008-08-06T00:00:00Z
-118.37,33.15,2008-08-07T00:00:00Z
-118.72,33.27,2008-08-08T00:00:00Z
-118.86,33.35,2008-08-09T00:00:00Z
-118.85,33.38,2008-08-10T00:00:00Z
-119.04,33.45,2008-08-11T00:00:00Z
-119.13,33.46,2008-08-12T00:00:00Z
-119.06,33.47,2008-08-13T00:00:00Z
-119.24,33.51,2008-08-14T00:00:00Z
-119.47,33.51,2008-08-15T00:00:00Z
-119.52,33.52,2008-08-16T00:00:00Z
-119.97,33.56,2008-08-17T00:00:00Z
-120.13,33.55,2008-08-18T00:00:00Z
-119.96,33.57,2008-08-19T00:00:00Z
-120.08,33.62,2008-08-20T00:00:00Z
-120.02,33.61,2008-08-21T00:00:00Z
-119.88,33.57,2008-08-22T00:00:00Z
-119.71,33.52,2008-08-23T00:00:00Z
-119.44,33.43,2008-08-24T00:00:00Z
-118.98,33.35,2008-08-25T00:00:00Z
-118.93,33.34,2008-08-26T00:00:00Z
-118.78,33.32,2008-08-27T00:00:00Z
-118.74,33.29,2008-08-28T00:00:00Z
-118.65,33.29,2008-08-29T00:00:00Z
-118.77,33.31,2008-08-30T00:00:00Z
-118.83,33.29,2008-08-31T00:00:00Z
-118.96,33.29,2008-09-01T00:00:00Z
-118.98,33.25,2008-09-02T00:00:00Z
-118.86,33.22,2008-09-03T00:00:00Z
-118.77,33.17,2008-09-04T00:00:00Z
-118.78,33.21,2008-09-05T00:00:00Z
-118.8,33.25,2008-09-06T00:00:00Z
-118.83,33.27,2008-09-07T00:00:00Z
-118.85,33.32,2008-09-08T00:00:00Z
-118.81,33.31,2008-09-09T00:00:00Z
-118.93,33.31,2008-09-10T00:00:00Z
-119.04,33.32,2008-09-11T00:00:00Z
-119.09,33.3,2008-09-12T00:00:00Z
-118.86,33.2,2008-09-13T00:00:00Z
-118.65,33.11,2008-09-14T00:00:00Z
-118.59,33.08,2008-09-15T00:00:00Z
-118.61,33.1,2008-09-16T00:00:00Z
