longitude,latitude,time
degrees_east,degrees_north,UTC
-117.64,29.15,2003-07-25T00:00:00Z
-117.61,29.08,2003-07-26T00:00:00Z
-117.55,28.99,2003-07-27T00:00:00Z
-117.43,28.84,2003-07-28T00:00:00Z
-117.28,28.65,2003-07-29T00:00:00Z
-117.07,28.41,2003-07-30T00:00:00Z
-117.02,28.34,2003-07-31T00:00:00Z
-117.12,28.47,2003-08-01T00:00:00Z
-117.19,28.65,2003-08-02T00:00:00Z
-117.34,28.96,2003-08-03T00:00:00Z
-117.42,29.23,2003-08-04T00:00:00Z
-117.45,29.49,2003-08-05T00:00:00Z
-117.49,29.69,2003-08-06T00:00:00Z
-117.54,29.87,2003-08-07T00:00:00Z
-117.3,29.69,2003-08-08T00:00:00Z
-117.16,29.49,2003-08-09T00:00:00Z
-117.12,29.37,2003-08-10T00:00:00Z
-117.2,29.34,2003-08-11T00:00:00Z
-117.19,29.29,2003-08-12T00:00:00Z
-117.12,29.26,2003-08-13T00:00:00Z
-117.24,29.4,2003-08-14T00:00:00Z
-117.33,29.52,2003-08-15T00:00:00Z
-117.41,29.69,2003-08-16T00:00:00Z
-117.43,29.83,2003-08-17T00:00:00Z
-117.58,30.01,2003-08-18T00:00:00Z
-117.7,30.09,2003-08-19T00:00:00Z
-117.78,30.04,2003-08-20T00:00:00Z
-117.95,29.96,2003-08-21T00:00:00Z
-118.32,30.05,2003-08-22T00:00:00Z
-118.7,30.2,2003-08-23T00:00:00Z
-119.1,30.48,2003-08-24T00:00:00Z
-119.28,30.64,2003-08-25T00:00:00Z
-119.45,30.78,2003-08-26T00:00:00Z
-119.56,30.9,2003-08-27T00:00:00Z
-119.78,31.15,2003-08-28T00:00:00Z
-119.98,31.4,2003-08-29T00:00:00Z
-120.05,31.53,2003-08-30T00:00:00Z
-119.97,31.45,2003-08-31T00:00:00Z
-119.97,31.32,2003-09-01T00:00:00Z
-119.91,31.07,2003-09-02T00:00:00Z
-119.64,30.58,2003-09-03T00:00:00Z
-119.34,29.98,2003-09-04T00:00:00Z
-119.2,29.36,2003-09-05T00:00:00Z
-119.17,28.77,2003-09-06T00:00:00Z
-119.26,28.24,2003-09-07T00:00:00Z
-119.36,27.75,2003-09-08T00:00:00Z
-119.23,27.11,2003-09-09T00:00:00Z
-119.0,26.47,2003-09-10T00:00:00Z
-118.95,26.03,2003-09-11T00:00:00Z
-118.97,25.71,2003-09-12T00:00:00Z
-119.31,25.9,2003-09-13T00:00:00Z
-119.79,26.53,2003-09-14T00:00:00Z
-120.27,27.27,2003-09-15T00:00:00Z
-120.71,28.06,2003-09-16T00:00:00Z
-121.13,28.89,2003-09-17T00:00:00Z
-121.32,29.67,2003-09-18T00:00:00Z
-121.49,30.43,2003-09-19T00:00:00Z
-121.6,31.17,2003-09-20T00:00:00Z
-121.51,31.68,2003-09-21T00:00:00Z
-121.6,32.27,2003-09-22T00:00:00Z
-121.87,32.98,2003-09-23T00:00:00Z
