longitude,latitude,time
degrees_east,degrees_north,UTC
-117.16,29.92,2005-11-14T00:00:00Z
-117.3,30.01,2005-11-15T00:00:00Z
-117.3,30.07,2005-11-16T00:00:00Z
-117.32,30.16,2005-11-17T00:00:00Z
-117.31,30.13,2005-11-18T00:00:00Z
-117.17,30.08,2005-11-19T00:00:00Z
-117.07,30.01,2005-11-20T00:00:00Z
-117.12,29.98,2005-11-21T00:00:00Z
-117.31,29.98,2005-11-22T00:00:00Z
-117.41,29.89,2005-11-23T00:00:00Z
-117.44,29.76,2005-11-24T00:00:00Z
-117.44,29.51,2005-11-25T00:00:00Z
-117.29,29.27,2005-11-26T00:00:00Z
-117.24,29.13,2005-11-27T00:00:00Z
-117.05,29.03,2005-11-28T00:00:00Z
-117.01,29.04,2005-11-29T00:00:00Z
-116.86,29.1,2005-11-30T00:00:00Z
-116.93,29.14,2005-12-01T00:00:00Z
-117.13,29.26,2005-12-02T00:00:00Z
-117.6,29.54,2005-12-03T00:00:00Z
-118.02,29.88,2005-12-04T00:00:00Z
-118.33,30.19,2005-12-05T00:00:00Z
-118.74,30.54,2005-12-06T00:00:00Z
-118.96,30.78,2005-12-07T00:00:00Z
-119.09,30.94,2005-12-08T00:00:00Z
-119.04,31.04,2005-12-09T00:00:00Z
-119.12,31.07,2005-12-10T00:00:00Z
-118.83,30.98,2005-12-11T00:00:00Z
-118.64,30.97,2005-12-12T00:00:00Z
-118.29,30.84,2005-12-13T00:00:00Z
-117.95,30.74,2005-12-14T00:00:00Z
-117.88,30.72,2005-12-15T00:00:00Z
-118.11,30.71,2005-12-16T00:00:00Z
-118.23,30.75,2005-12-17T00:00:00Z
-118.43,30.79,2005-12-18T00:00:00Z
-118.77,30.8,2005-12-19T00:00:00Z
-119.13,30.76,2005-12-20T00:00:00Z
-119.32,30.73,2005-12-21T00:00:00Z
-119.29,30.74,2005-12-22T00:00:00Z
