longitude,latitude,time
degrees_east,degrees_north,UTC
-117.37,31.22,2008-07-12T00:00:00Z
-117.57,31.26,2008-07-13T00:00:00Z
-117.63,31.27,2008-07-14T00:00:00Z
-117.69,31.32,2008-07-15T00:00:00Z
-117.66,31.33,2008-07-16T00:00:00Z
-117.74,31.42,2008-07-17T00:00:00Z
-117.81,31.48,2008-07-18T00:00:00Z
-117.94,31.59,2008-07-19T00:00:00Z
-117.94,31.73,2008-07-20T00:00:00Z
-117.95,31.81,2008-07-21T00:00:00Z
-117.97,31.86,2008-07-22T00:00:00Z
-117.8,31.89,2008-07-23T00:00:00Z
-117.74,31.91,2008-07-24T00:00:00Z
-117.85,31.93,2008-07-25T00:00:00Z
-117.83,31.95,2008-07-26T00:00:00Z
