longitude,latitude,time
degrees_east,degrees_north,UTC
-117.42,30.18,2005-11-18T00:00:00Z
-117.2,30.14,2005-11-19T00:00:00Z
-117.01,30.1,2005-11-20T00:00:00Z
-116.96,30.08,2005-11-21T00:00:00Z
-116.99,30.03,2005-11-22T00:00:00Z
-116.93,29.83,2005-11-23T00:00:00Z
-116.85,29.51,2005-11-24T00:00:00Z
-116.88,29.15,2005-11-25T00:00:00Z
-117.08,28.86,2005-11-26T00:00:00Z
-117.31,28.65,2005-11-27T00:00:00Z
-117.43,28.51,2005-11-28T00:00:00Z
-117.53,28.44,2005-11-29T00:00:00Z
-117.67,28.45,2005-11-30T00:00:00Z
-117.74,28.49,2005-12-01T00:00:00Z
-117.69,28.51,2005-12-02T00:00:00Z
-117.6,28.55,2005-12-03T00:00:00Z
-117.48,28.57,2005-12-04T00:00:00Z
-117.38,28.61,2005-12-05T00:00:00Z
-117.36,28.68,2005-12-06T00:00:00Z
-117.29,28.75,2005-12-07T00:00:00Z
-117.19,28.8,2005-12-08T00:00:00Z
-116.97,28.83,2005-12-09T00:00:00Z
-116.69,28.84,2005-12-10T00:00:00Z
-116.5,28.89,2005-12-11T00:00:00Z
-116.43,28.99,2005-12-12T00:00:00Z
-116.67,29.16,2005-12-13T00:00:00Z
-116.87,29.27,2005-12-14T00:00:00Z
-116.95,29.29,2005-12-15T00:00:00Z
-116.75,29.16,2005-12-16T00:00:00Z
-116.55,29.0,2005-12-17T00:00:00Z
-116.5,28.87,2005-12-18T00:00:00Z
-116.78,28.84,2005-12-19T00:00:00Z
-117.27,28.9,2005-12-20T00:00:00Z
-117.86,29.06,2005-12-21T00:00:00Z
-118.23,29.24,2005-12-22T00:00:00Z
-118.4,29.43,2005-12-23T00:00:00Z
-118.71,29.71,2005-12-24T00:00:00Z
-119.31,30.11,2005-12-25T00:00:00Z
-120.03,30.62,2005-12-26T00:00:00Z
-120.7,31.18,2005-12-27T00:00:00Z
-121.09,31.62,2005-12-28T00:00:00Z
-120.84,31.75,2005-12-29T00:00:00Z
-120.3,31.67,2005-12-30T00:00:00Z
-119.58,31.46,2005-12-31T00:00:00Z
-118.68,31.13,2006-01-01T00:00:00Z
-117.83,30.78,2006-01-02T00:00:00Z
-117.21,30.45,2006-01-03T00:00:00Z
-116.89,30.17,2006-01-04T00:00:00Z
-116.77,29.9,2006-01-05T00:00:00Z
-116.52,29.53,2006-01-06T00:00:00Z
-116.35,29.1,2006-01-07T00:00:00Z
-116.27,28.69,2006-01-08T00:00:00Z
-116.29,28.29,2006-01-09T00:00:00Z
-116.25,27.9,2006-01-10T00:00:00Z
-116.12,27.5,2006-01-11T00:00:00Z
-116.0,27.14,2006-01-12T00:00:00Z
-115.86,26.81,2006-01-13T00:00:00Z
-115.76,26.57,2006-01-14T00:00:00Z
-115.67,26.44,2006-01-15T00:00:00Z
-115.66,26.4,2006-01-16T00:00:00Z
-115.79,26.46,2006-01-17T00:00:00Z
-116.0,26.64,2006-01-18T00:00:00Z
-116.24,26.95,2006-01-19T00:00:00Z
-116.58,27.39,2006-01-20T00:00:00Z
-116.99,27.89,2006-01-21T00:00:00Z
-117.39,28.38,2006-01-22T00:00:00Z
-117.66,28.79,2006-01-23T00:00:00Z
-117.99,29.21,2006-01-24T00:00:00Z
-118.16,29.58,2006-01-25T00:00:00Z
-118.37,29.94,2006-01-26T00:00:00Z
-118.59,30.27,2006-01-27T00:00:00Z
-118.86,30.57,2006-01-28T00:00:00Z
-119.13,30.8,2006-01-29T00:00:00Z
-119.19,30.87,2006-01-30T00:00:00Z
-118.81,30.73,2006-01-31T00:00:00Z
-118.32,30.46,2006-02-01T00:00:00Z
-117.96,30.17,2006-02-02T00:00:00Z
-117.72,29.86,2006-02-03T00:00:00Z
-117.47,29.55,2006-02-04T00:00:00Z
-117.41,29.32,2006-02-05T00:00:00Z
-117.41,29.15,2006-02-06T00:00:00Z
-117.36,28.97,2006-02-07T00:00:00Z
-117.26,28.79,2006-02-08T00:00:00Z
-117.19,28.67,2006-02-09T00:00:00Z
-117.26,28.65,2006-02-10T00:00:00Z
-117.15,28.63,2006-02-11T00:00:00Z
-116.79,28.47,2006-02-12T00:00:00Z
-116.2,28.14,2006-02-13T00:00:00Z
-115.6,27.68,2006-02-14T00:00:00Z
-115.1,27.2,2006-02-15T00:00:00Z
-114.61,26.75,2006-02-16T00:00:00Z
-114.09,26.33,2006-02-17T00:00:00Z
-113.76,26.02,2006-02-18T00:00:00Z
-113.91,25.98,2006-02-19T00:00:00Z
-114.48,26.18,2006-02-20T00:00:00Z
-115.12,26.46,2006-02-21T00:00:00Z
-115.57,26.73,2006-02-22T00:00:00Z
-115.77,26.93,2006-02-23T00:00:00Z
-115.69,27.03,2006-02-24T00:00:00Z
-115.53,27.07,2006-02-25T00:00:00Z
-115.77,27.24,2006-02-26T00:00:00Z
-116.47,27.62,2006-02-27T00:00:00Z
-117.17,28.08,2006-02-28T00:00:00Z
-117.76,28.56,2006-03-01T00:00:00Z
-118.12,28.96,2006-03-02T00:00:00Z
-118.27,29.3,2006-03-03T00:00:00Z
-118.31,29.58,2006-03-04T00:00:00Z
-118.22,29.81,2006-03-05T00:00:00Z
-118.17,30.02,2006-03-06T00:00:00Z
-118.24,30.24,2006-03-07T00:00:00Z
-118.37,30.51,2006-03-08T00:00:00Z
-118.54,30.8,2006-03-09T00:00:00Z
-118.59,31.01,2006-03-10T00:00:00Z
-118.71,31.21,2006-03-11T00:00:00Z
-119.06,31.38,2006-03-12T00:00:00Z
-119.42,31.51,2006-03-13T00:00:00Z
-119.8,31.62,2006-03-14T00:00:00Z
-120.16,31.75,2006-03-15T00:00:00Z
-120.84,31.99,2006-03-16T00:00:00Z
-121.6,32.3,2006-03-17T00:00:00Z
-122.15,32.6,2006-03-18T00:00:00Z
-122.38,32.81,2006-03-19T00:00:00Z
-122.62,32.98,2006-03-20T00:00:00Z
-122.99,33.19,2006-03-21T00:00:00Z
-123.53,33.45,2006-03-22T00:00:00Z
-124.15,33.7,2006-03-23T00:00:00Z
-124.88,33.93,2006-03-24T00:00:00Z
-125.49,34.09,2006-03-25T00:00:00Z
-126.11,34.21,2006-03-26T00:00:00Z
-126.81,34.31,2006-03-27T00:00:00Z
-127.76,34.42,2006-03-28T00:00:00Z
-128.93,34.52,2006-03-29T00:00:00Z
-129.98,34.53,2006-03-30T00:00:00Z
-130.87,34.45,2006-03-31T00:00:00Z
-131.46,34.26,2006-04-01T00:00:00Z
-131.64,33.99,2006-04-02T00:00:00Z
-131.31,33.64,2006-04-03T00:00:00Z
-130.84,33.35,2006-04-04T00:00:00Z
-130.38,33.21,2006-04-05T00:00:00Z
-130.05,33.36,2006-04-06T00:00:00Z
-129.55,33.68,2006-04-07T00:00:00Z
-128.57,33.98,2006-04-08T00:00:00Z
-127.35,34.19,2006-04-09T00:00:00Z
-126.16,34.29,2006-04-10T00:00:00Z
-124.89,34.23,2006-04-11T00:00:00Z
-123.82,34.05,2006-04-12T00:00:00Z
-123.15,33.83,2006-04-13T00:00:00Z
-122.54,33.53,2006-04-14T00:00:00Z
-121.92,33.13,2006-04-15T00:00:00Z
-121.65,32.78,2006-04-16T00:00:00Z
-121.44,32.44,2006-04-17T00:00:00Z
-121.04,32.03,2006-04-18T00:00:00Z
-120.34,31.53,2006-04-19T00:00:00Z
-119.4,30.98,2006-04-20T00:00:00Z
-118.64,30.5,2006-04-21T00:00:00Z
-118.19,30.11,2006-04-22T00:00:00Z
-117.96,29.78,2006-04-23T00:00:00Z
-117.83,29.44,2006-04-24T00:00:00Z
-117.54,29.01,2006-04-25T00:00:00Z
-117.07,28.51,2006-04-26T00:00:00Z
-116.19,27.88,2006-04-27T00:00:00Z
-115.45,27.3,2006-04-28T00:00:00Z
-115.12,26.88,2006-04-29T00:00:00Z
-115.1,26.65,2006-04-30T00:00:00Z
-115.15,26.57,2006-05-01T00:00:00Z
-115.17,26.56,2006-05-02T00:00:00Z
-115.16,26.59,2006-05-03T00:00:00Z
-115.07,26.6,2006-05-04T00:00:00Z
-114.87,26.54,2006-05-05T00:00:00Z
-114.58,26.42,2006-05-06T00:00:00Z
-114.39,26.29,2006-05-07T00:00:00Z
-114.23,26.16,2006-05-08T00:00:00Z
-114.14,26.03,2006-05-09T00:00:00Z
-114.08,25.91,2006-05-10T00:00:00Z
-114.01,25.8,2006-05-11T00:00:00Z
