eventid,deploylen,taggingdate,deplon,deplat,recdate,reclon,reclat,reclen,reclen_type
100208700,91.0,2002-11-12,-116.79,31.67,,,,,
100208800,94.0,2002-11-12,-116.79,31.67,,,,,
100208900,91.0,2002-11-12,-116.79,31.67,,,,,
100209000,112.0,2002-11-12,-116.79,31.67,2005-08-01,-118.41,31.15,173.00,SFL
100209100,90.0,2002-11-12,-116.79,31.67,2004-06-13,-113.7,25.81,126.00,SFL
100209200,94.0,2002-11-12,-116.79,31.67,,,,,
100209300,91.0,2002-11-12,-116.79,31.67,2004-07-07,-116.96,29.48,121.00,SFL
100209400,94.0,2002-11-12,-116.79,31.67,2003-08-05,-116.1,29.28,108.00,SFL
100209500,100.0,2002-11-12,-116.79,31.67,,,,,
100209600,71.0,2002-11-12,-116.79,31.67,2004-06-12,-113.62,25.73,90.00,SFL
100209700,94.0,2002-11-12,-116.79,31.67,,,,,
100209800,93.0,2002-11-12,-116.79,31.67,2003-07-04,-115.45,25.71,120.00,SFL
100300100,97.5,2003-07-24,-116.57,29.26,,,,,
100300200,96.0,2003-07-24,-116.65,29.23,2004-06-15,-113.3,25.45,,
100300300,91.0,2003-07-24,-116.53,29.18,2003-07-28,-117.43,29.38,91.00,SFL
100300400,,2003-07-24,-116.53,29.18,,,,,
100300500,97.0,2003-07-24,-116.53,29.18,2005-07-24,-118.1,30.66,120.00,SFL
100300600,91.0,2003-07-24,-116.5,29.33,2003-10-15,-119.416,32.416,91.00,SFL
100300700,93.0,2003-07-24,-116.53,29.18,2004-07-13,-117.37,29.55,,
100300800,96.0,2003-07-24,-116.5,29.33,2004-07-07,-116.85,29.51,110.00,SFL
100300900,90.0,2003-07-24,-116.5,29.33,2004-07-05,-117.25,29.91,,
100301000,91.0,2003-07-24,-116.53,29.18,,,,,
100301100,93.0,2003-07-24,-116.5,29.33,2006-01-26,,,,
100301200,90.0,2003-07-24,-116.5,29.33,2004-07-14,-117.13,29.57,113.00,SFL
100301300,97.0,2003-07-24,-116.53,29.18,,,,,
100301400,90.0,2003-07-24,-116.5,29.33,2004-06-01,-113.983,25.8166,114.00,SFL
100301500,89.0,2003-07-24,-116.53,29.18,,,,,
100301600,93.0,2003-07-24,-116.53,29.18,,,,,
100301700,93.0,2003-07-24,-116.5,29.33,,,,,
100301800,93.0,2003-07-24,-116.53,29.18,2004-07-06,-117.45,29.73,110.00,SFL
100301900,90.0,2003-07-24,-116.5,29.33,2004-06-26,-117.43,29.72,,
100302000,92.0,2003-07-24,-116.5,29.33,2004-06-15,-113.92,25.95,113.00,SFL
100302100,92.0,2003-07-24,-116.5,29.33,2004-06-15,-117.23,32.38,118.00,SFL
100302200,93.0,2003-07-24,-116.5,29.33,,,,,
100302300,88.0,2003-07-24,-116.5,29.33,2004-06-03,-114.15,25.76,111.00,SFL
100302400,99.0,2003-07-24,-116.5,29.33,2003-08-01,,,96.00,SFL
100302500,98.0,2003-07-24,-116.5,29.33,,,,,
100302600,93.5,2003-07-24,-116.48,29.35,2003-11-13,-121.92,35.65,,
100302700,90.0,2003-07-24,-116.48,29.35,2004-06-12,-117.23,32.38,119.00,SFL
