longitude,latitude,time
degrees_east,degrees_north,UTC
-118.63,30.06,2005-03-12T00:00:00Z
-118.89,30.33,2005-03-13T00:00:00Z
-119.21,30.62,2005-03-14T00:00:00Z
-119.33,30.79,2005-03-15T00:00:00Z
-119.36,30.95,2005-03-16T00:00:00Z
-119.27,31.08,2005-03-17T00:00:00Z
-119.21,31.18,2005-03-18T00:00:00Z
-119.03,31.12,2005-03-19T00:00:00Z
-118.82,30.99,2005-03-20T00:00:00Z
-118.57,30.83,2005-03-21T00:00:00Z
-118.38,30.72,2005-03-22T00:00:00Z
-118.22,30.72,2005-03-23T00:00:00Z
-118.32,30.89,2005-03-24T00:00:00Z
-118.45,30.98,2005-03-25T00:00:00Z
-118.54,31.02,2005-03-26T00:00:00Z
-118.53,31.03,2005-03-27T00:00:00Z
-118.49,30.97,2005-03-28T00:00:00Z
-118.24,30.73,2005-03-29T00:00:00Z
-117.9,30.43,2005-03-30T00:00:00Z
-117.41,29.99,2005-03-31T00:00:00Z
-117.06,29.66,2005-04-01T00:00:00Z
-116.83,29.38,2005-04-02T00:00:00Z
-116.58,29.08,2005-04-03T00:00:00Z
-116.36,28.75,2005-04-04T00:00:00Z
-116.05,28.31,2005-04-05T00:00:00Z
-115.77,27.93,2005-04-06T00:00:00Z
-115.53,27.58,2005-04-07T00:00:00Z
-115.13,27.11,2005-04-08T00:00:00Z
-114.61,26.62,2005-04-09T00:00:00Z
-114.12,26.27,2005-04-10T00:00:00Z
-113.77,26.04,2005-04-11T00:00:00Z
-113.55,25.89,2005-04-12T00:00:00Z
-113.45,25.8,2005-04-13T00:00:00Z
-113.5,25.84,2005-04-14T00:00:00Z
-113.59,25.84,2005-04-15T00:00:00Z
-113.55,25.69,2005-04-16T00:00:00Z
-113.49,25.61,2005-04-17T00:00:00Z
-113.54,25.64,2005-04-18T00:00:00Z
-113.67,25.72,2005-04-19T00:00:00Z
-113.71,25.69,2005-04-20T00:00:00Z
-113.73,25.64,2005-04-21T00:00:00Z
-113.65,25.48,2005-04-22T00:00:00Z
-113.51,25.34,2005-04-23T00:00:00Z
-113.48,25.31,2005-04-24T00:00:00Z
-113.45,25.25,2005-04-25T00:00:00Z
-113.36,25.16,2005-04-26T00:00:00Z
-113.23,25.05,2005-04-27T00:00:00Z
-113.11,24.98,2005-04-28T00:00:00Z
-113.03,24.92,2005-04-29T00:00:00Z
-112.98,24.91,2005-04-30T00:00:00Z
-113.06,24.96,2005-05-01T00:00:00Z
-113.2,25.01,2005-05-02T00:00:00Z
-113.39,25.07,2005-05-03T00:00:00Z
-113.58,25.1,2005-05-04T00:00:00Z
-113.69,25.1,2005-05-05T00:00:00Z
-113.78,25.11,2005-05-06T00:00:00Z
-113.87,25.18,2005-05-07T00:00:00Z
-113.93,25.21,2005-05-08T00:00:00Z
-113.96,25.26,2005-05-09T00:00:00Z
-114.05,25.36,2005-05-10T00:00:00Z
-114.17,25.41,2005-05-11T00:00:00Z
-114.25,25.35,2005-05-12T00:00:00Z
-114.18,25.17,2005-05-13T00:00:00Z
-114.17,25.12,2005-05-14T00:00:00Z
-114.23,25.15,2005-05-15T00:00:00Z
-114.16,25.1,2005-05-16T00:00:00Z
-114.09,25.14,2005-05-17T00:00:00Z
-114.06,25.15,2005-05-18T00:00:00Z
-114.0,25.11,2005-05-19T00:00:00Z
-113.98,25.22,2005-05-20T00:00:00Z
-114.14,25.42,2005-05-21T00:00:00Z
-114.26,25.52,2005-05-22T00:00:00Z
-114.23,25.44,2005-05-23T00:00:00Z
-114.05,25.25,2005-05-24T00:00:00Z
-113.87,25.14,2005-05-25T00:00:00Z
-113.82,25.15,2005-05-26T00:00:00Z
-113.75,25.21,2005-05-27T00:00:00Z
-113.81,25.45,2005-05-28T00:00:00Z
-113.93,25.66,2005-05-29T00:00:00Z
-113.92,25.73,2005-05-30T00:00:00Z
-113.88,25.81,2005-05-31T00:00:00Z
-113.92,25.97,2005-06-01T00:00:00Z
-114.06,26.21,2005-06-02T00:00:00Z
-114.26,26.52,2005-06-03T00:00:00Z
-114.7,27.04,2005-06-04T00:00:00Z
-115.2,27.53,2005-06-05T00:00:00Z
-115.64,27.99,2005-06-06T00:00:00Z
-116.19,28.5,2005-06-07T00:00:00Z
-116.72,29.03,2005-06-08T00:00:00Z
-117.24,29.56,2005-06-09T00:00:00Z
-117.71,30.0,2005-06-10T00:00:00Z
-118.27,30.59,2005-06-11T00:00:00Z
-119.13,31.31,2005-06-12T00:00:00Z
-120.04,31.93,2005-06-13T00:00:00Z
-120.82,32.31,2005-06-14T00:00:00Z
-121.06,32.21,2005-06-15T00:00:00Z
-121.15,32.16,2005-06-16T00:00:00Z
-121.34,32.27,2005-06-17T00:00:00Z
-121.55,32.51,2005-06-18T00:00:00Z
-121.99,32.92,2005-06-19T00:00:00Z
-122.22,33.1,2005-06-20T00:00:00Z
-122.43,33.27,2005-06-21T00:00:00Z
-122.75,33.54,2005-06-22T00:00:00Z
