longitude,latitude,time
degrees_east,degrees_north,UTC
-117.88,30.28,2003-07-30T00:00:00Z
-117.97,30.38,2003-07-31T00:00:00Z
-118.03,30.46,2003-08-01T00:00:00Z
-118.13,30.62,2003-08-02T00:00:00Z
-118.17,30.74,2003-08-03T00:00:00Z
-118.2,30.86,2003-08-04T00:00:00Z
-118.22,31.02,2003-08-05T00:00:00Z
-118.26,31.18,2003-08-06T00:00:00Z
-118.38,31.34,2003-08-07T00:00:00Z
-118.37,31.46,2003-08-08T00:00:00Z
-118.24,31.5,2003-08-09T00:00:00Z
-118.15,31.56,2003-08-10T00:00:00Z
-118.1,31.59,2003-08-11T00:00:00Z
-118.04,31.6,2003-08-12T00:00:00Z
-117.95,31.62,2003-08-13T00:00:00Z
-117.92,31.66,2003-08-14T00:00:00Z
-117.87,31.71,2003-08-15T00:00:00Z
-117.92,31.8,2003-08-16T00:00:00Z
-117.86,31.81,2003-08-17T00:00:00Z
-117.87,31.85,2003-08-18T00:00:00Z
-117.94,31.89,2003-08-19T00:00:00Z
-118.03,31.93,2003-08-20T00:00:00Z
-118.15,31.99,2003-08-21T00:00:00Z
-118.3,32.07,2003-08-22T00:00:00Z
-118.38,32.09,2003-08-23T00:00:00Z
-118.5,32.12,2003-08-24T00:00:00Z
-118.57,32.13,2003-08-25T00:00:00Z
-118.78,32.21,2003-08-26T00:00:00Z
-119.03,32.28,2003-08-27T00:00:00Z
-119.32,32.36,2003-08-28T00:00:00Z
-119.48,32.38,2003-08-29T00:00:00Z
-119.45,32.36,2003-08-30T00:00:00Z
-119.36,32.33,2003-08-31T00:00:00Z
-119.29,32.32,2003-09-01T00:00:00Z
-119.28,32.31,2003-09-02T00:00:00Z
-119.35,32.37,2003-09-03T00:00:00Z
-119.36,32.36,2003-09-04T00:00:00Z
-119.32,32.36,2003-09-05T00:00:00Z
-119.31,32.37,2003-09-06T00:00:00Z
-119.38,32.38,2003-09-07T00:00:00Z
-119.52,32.42,2003-09-08T00:00:00Z
-119.49,32.39,2003-09-09T00:00:00Z
-119.49,32.39,2003-09-10T00:00:00Z
-119.49,32.37,2003-09-11T00:00:00Z
-119.55,32.41,2003-09-12T00:00:00Z
-119.61,32.43,2003-09-13T00:00:00Z
-119.61,32.42,2003-09-14T00:00:00Z
-119.55,32.39,2003-09-15T00:00:00Z
-119.48,32.36,2003-09-16T00:00:00Z
-119.43,32.35,2003-09-17T00:00:00Z
-119.35,32.35,2003-09-18T00:00:00Z
-119.44,32.42,2003-09-19T00:00:00Z
-119.41,32.45,2003-09-20T00:00:00Z
