longitude,latitude,time
degrees_east,degrees_north,UTC
-117.36,29.74,2003-07-26T00:00:00Z
-117.49,29.86,2003-07-27T00:00:00Z
-117.54,29.86,2003-07-28T00:00:00Z
-117.43,29.7,2003-07-29T00:00:00Z
-117.28,29.57,2003-07-30T00:00:00Z
-117.25,29.58,2003-07-31T00:00:00Z
-117.3,29.7,2003-08-01T00:00:00Z
-117.42,29.91,2003-08-02T00:00:00Z
-117.54,30.14,2003-08-03T00:00:00Z
-117.46,30.21,2003-08-04T00:00:00Z
-117.35,30.29,2003-08-05T00:00:00Z
-117.32,30.42,2003-08-06T00:00:00Z
-117.23,30.45,2003-08-07T00:00:00Z
-117.14,30.47,2003-08-08T00:00:00Z
-117.19,30.6,2003-08-09T00:00:00Z
-117.29,30.78,2003-08-10T00:00:00Z
-117.48,31.03,2003-08-11T00:00:00Z
-117.56,31.17,2003-08-12T00:00:00Z
-117.43,31.09,2003-08-13T00:00:00Z
-117.46,31.14,2003-08-14T00:00:00Z
-117.55,31.22,2003-08-15T00:00:00Z
-117.71,31.29,2003-08-16T00:00:00Z
-117.76,31.22,2003-08-17T00:00:00Z
-117.75,31.11,2003-08-18T00:00:00Z
-117.65,30.93,2003-08-19T00:00:00Z
-117.54,30.72,2003-08-20T00:00:00Z
-117.61,30.7,2003-08-21T00:00:00Z
-117.99,30.92,2003-08-22T00:00:00Z
-118.51,31.3,2003-08-23T00:00:00Z
-119.11,31.75,2003-08-24T00:00:00Z
-119.48,32.01,2003-08-25T00:00:00Z
-119.58,32.04,2003-08-26T00:00:00Z
-119.58,32.06,2003-08-27T00:00:00Z
-119.49,32.0,2003-08-28T00:00:00Z
-119.31,31.9,2003-08-29T00:00:00Z
-119.03,31.7,2003-08-30T00:00:00Z
-118.79,31.53,2003-08-31T00:00:00Z
-118.66,31.44,2003-09-01T00:00:00Z
-118.67,31.48,2003-09-02T00:00:00Z
-118.98,31.78,2003-09-03T00:00:00Z
-119.24,32.01,2003-09-04T00:00:00Z
-119.45,32.18,2003-09-05T00:00:00Z
-119.6,32.28,2003-09-06T00:00:00Z
-119.74,32.39,2003-09-07T00:00:00Z
-119.85,32.46,2003-09-08T00:00:00Z
-119.69,32.34,2003-09-09T00:00:00Z
-119.62,32.33,2003-09-10T00:00:00Z
-119.64,32.41,2003-09-11T00:00:00Z
-119.84,32.66,2003-09-12T00:00:00Z
-120.04,32.84,2003-09-13T00:00:00Z
-120.2,32.97,2003-09-14T00:00:00Z
-120.35,33.11,2003-09-15T00:00:00Z
-120.55,33.29,2003-09-16T00:00:00Z
-120.71,33.43,2003-09-17T00:00:00Z
-120.9,33.6,2003-09-18T00:00:00Z
-120.94,33.62,2003-09-19T00:00:00Z
-121.01,33.69,2003-09-20T00:00:00Z
-121.05,33.73,2003-09-21T00:00:00Z
-121.12,33.78,2003-09-22T00:00:00Z
-121.25,33.88,2003-09-23T00:00:00Z
-121.46,34.05,2003-09-24T00:00:00Z
-121.63,34.14,2003-09-25T00:00:00Z
-121.9,34.32,2003-09-26T00:00:00Z
-121.71,34.12,2003-09-27T00:00:00Z
-121.54,33.93,2003-09-28T00:00:00Z
-121.52,33.86,2003-09-29T00:00:00Z
-121.34,33.61,2003-09-30T00:00:00Z
-121.01,33.27,2003-10-01T00:00:00Z
-120.8,33.1,2003-10-02T00:00:00Z
-120.67,33.05,2003-10-03T00:00:00Z
-120.36,32.93,2003-10-04T00:00:00Z
-120.15,32.91,2003-10-05T00:00:00Z
-120.15,33.06,2003-10-06T00:00:00Z
-120.23,33.24,2003-10-07T00:00:00Z
-120.41,33.44,2003-10-08T00:00:00Z
-120.52,33.57,2003-10-09T00:00:00Z
-120.58,33.64,2003-10-10T00:00:00Z
-120.53,33.6,2003-10-11T00:00:00Z
-120.26,33.39,2003-10-12T00:00:00Z
-119.98,33.23,2003-10-13T00:00:00Z
-119.81,33.19,2003-10-14T00:00:00Z
-119.74,33.21,2003-10-15T00:00:00Z
-119.65,33.18,2003-10-16T00:00:00Z
-119.53,33.1,2003-10-17T00:00:00Z
-119.49,33.06,2003-10-18T00:00:00Z
-119.76,33.26,2003-10-19T00:00:00Z
-119.93,33.35,2003-10-20T00:00:00Z
-119.96,33.32,2003-10-21T00:00:00Z
-119.91,33.21,2003-10-22T00:00:00Z
-119.93,33.19,2003-10-23T00:00:00Z
-119.99,33.2,2003-10-24T00:00:00Z
-120.09,33.24,2003-10-25T00:00:00Z
-120.08,33.18,2003-10-26T00:00:00Z
-120.07,33.12,2003-10-27T00:00:00Z
-120.16,33.17,2003-10-28T00:00:00Z
-120.35,33.29,2003-10-29T00:00:00Z
-120.5,33.35,2003-10-30T00:00:00Z
-120.79,33.52,2003-10-31T00:00:00Z
-121.11,33.68,2003-11-01T00:00:00Z
-121.5,33.89,2003-11-02T00:00:00Z
-121.72,34.0,2003-11-03T00:00:00Z
-122.03,34.25,2003-11-04T00:00:00Z
-122.35,34.5,2003-11-05T00:00:00Z
-122.04,34.19,2003-11-06T00:00:00Z
-121.57,33.79,2003-11-07T00:00:00Z
-120.99,33.35,2003-11-08T00:00:00Z
-120.53,33.04,2003-11-09T00:00:00Z
-120.64,33.18,2003-11-10T00:00:00Z
-120.88,33.4,2003-11-11T00:00:00Z
-121.05,33.53,2003-11-12T00:00:00Z
-121.21,33.65,2003-11-13T00:00:00Z
-121.34,33.73,2003-11-14T00:00:00Z
-121.41,33.77,2003-11-15T00:00:00Z
-121.53,33.86,2003-11-16T00:00:00Z
-121.57,33.91,2003-11-17T00:00:00Z
-121.48,33.87,2003-11-18T00:00:00Z
-121.3,33.77,2003-11-19T00:00:00Z
-121.02,33.59,2003-11-20T00:00:00Z
-120.8,33.48,2003-11-21T00:00:00Z
-120.75,33.49,2003-11-22T00:00:00Z
-120.78,33.52,2003-11-23T00:00:00Z
-120.78,33.46,2003-11-24T00:00:00Z
-120.56,33.17,2003-11-25T00:00:00Z
-120.36,32.88,2003-11-26T00:00:00Z
-120.13,32.53,2003-11-27T00:00:00Z
-120.0,32.27,2003-11-28T00:00:00Z
-119.99,32.09,2003-11-29T00:00:00Z
-119.84,31.78,2003-11-30T00:00:00Z
-119.44,31.25,2003-12-01T00:00:00Z
-118.79,30.53,2003-12-02T00:00:00Z
-118.03,29.78,2003-12-03T00:00:00Z
-117.43,29.21,2003-12-04T00:00:00Z
-117.07,28.86,2003-12-05T00:00:00Z
-116.88,28.64,2003-12-06T00:00:00Z
-116.79,28.5,2003-12-07T00:00:00Z
-116.74,28.4,2003-12-08T00:00:00Z
-116.71,28.32,2003-12-09T00:00:00Z
-116.75,28.26,2003-12-10T00:00:00Z
-116.75,28.15,2003-12-11T00:00:00Z
-116.78,28.1,2003-12-12T00:00:00Z
-116.81,28.06,2003-12-13T00:00:00Z
-116.44,27.71,2003-12-14T00:00:00Z
-116.22,27.52,2003-12-15T00:00:00Z
-116.23,27.53,2003-12-16T00:00:00Z
-116.41,27.66,2003-12-17T00:00:00Z
-116.68,27.83,2003-12-18T00:00:00Z
-117.07,28.06,2003-12-19T00:00:00Z
-117.14,28.01,2003-12-20T00:00:00Z
-117.08,27.84,2003-12-21T00:00:00Z
-117.06,27.72,2003-12-22T00:00:00Z
-117.06,27.66,2003-12-23T00:00:00Z
-117.07,27.65,2003-12-24T00:00:00Z
-116.81,27.45,2003-12-25T00:00:00Z
-116.5,27.24,2003-12-26T00:00:00Z
-116.37,27.23,2003-12-27T00:00:00Z
-116.18,27.14,2003-12-28T00:00:00Z
-116.02,27.08,2003-12-29T00:00:00Z
-115.98,27.1,2003-12-30T00:00:00Z
-115.9,27.04,2003-12-31T00:00:00Z
-115.75,26.9,2004-01-01T00:00:00Z
-115.72,26.88,2004-01-02T00:00:00Z
-115.72,26.86,2004-01-03T00:00:00Z
