longitude,latitude,time
degrees_east,degrees_north,UTC
-117.52,29.85,2005-03-12T00:00:00Z
-117.37,29.72,2005-03-13T00:00:00Z
-117.27,29.67,2005-03-14T00:00:00Z
-117.09,29.53,2005-03-15T00:00:00Z
-117.28,29.6,2005-03-16T00:00:00Z
-117.56,29.72,2005-03-17T00:00:00Z
-117.82,29.82,2005-03-18T00:00:00Z
-117.91,29.82,2005-03-19T00:00:00Z
-117.78,29.69,2005-03-20T00:00:00Z
-117.64,29.56,2005-03-21T00:00:00Z
-117.49,29.42,2005-03-22T00:00:00Z
-117.34,29.28,2005-03-23T00:00:00Z
-117.15,29.09,2005-03-24T00:00:00Z
-116.74,28.82,2005-03-25T00:00:00Z
-116.59,28.69,2005-03-26T00:00:00Z
-116.46,28.57,2005-03-27T00:00:00Z
-116.37,28.55,2005-03-28T00:00:00Z
-116.31,28.52,2005-03-29T00:00:00Z
-116.36,28.59,2005-03-30T00:00:00Z
-116.26,28.48,2005-03-31T00:00:00Z
-116.23,28.41,2005-04-01T00:00:00Z
-116.25,28.38,2005-04-02T00:00:00Z
-116.45,28.49,2005-04-03T00:00:00Z
-116.55,28.5,2005-04-04T00:00:00Z
-116.37,28.37,2005-04-05T00:00:00Z
-116.26,28.25,2005-04-06T00:00:00Z
-116.04,28.04,2005-04-07T00:00:00Z
-115.85,27.81,2005-04-08T00:00:00Z
-115.51,27.49,2005-04-09T00:00:00Z
-115.07,27.08,2005-04-10T00:00:00Z
-114.69,26.67,2005-04-11T00:00:00Z
-114.45,26.39,2005-04-12T00:00:00Z
-114.38,26.16,2005-04-13T00:00:00Z
-114.33,26.0,2005-04-14T00:00:00Z
-114.3,25.8,2005-04-15T00:00:00Z
-114.21,25.63,2005-04-16T00:00:00Z
-114.26,25.61,2005-04-17T00:00:00Z
-114.2,25.5,2005-04-18T00:00:00Z
-114.33,25.54,2005-04-19T00:00:00Z
-114.37,25.47,2005-04-20T00:00:00Z
-114.19,25.35,2005-04-21T00:00:00Z
-114.19,25.28,2005-04-22T00:00:00Z
-114.07,25.16,2005-04-23T00:00:00Z
-114.15,25.14,2005-04-24T00:00:00Z
-114.15,25.08,2005-04-25T00:00:00Z
-114.12,25.03,2005-04-26T00:00:00Z
-114.08,24.93,2005-04-27T00:00:00Z
-114.05,24.89,2005-04-28T00:00:00Z
-114.05,24.86,2005-04-29T00:00:00Z
-114.09,24.86,2005-04-30T00:00:00Z
-114.01,24.8,2005-05-01T00:00:00Z
-114.05,24.79,2005-05-02T00:00:00Z
-114.11,24.86,2005-05-03T00:00:00Z
-114.32,25.01,2005-05-04T00:00:00Z
-114.39,25.03,2005-05-05T00:00:00Z
-114.24,24.88,2005-05-06T00:00:00Z
-114.13,24.71,2005-05-07T00:00:00Z
-114.02,24.56,2005-05-08T00:00:00Z
-113.95,24.48,2005-05-09T00:00:00Z
-113.92,24.39,2005-05-10T00:00:00Z
-113.85,24.3,2005-05-11T00:00:00Z
-113.96,24.26,2005-05-12T00:00:00Z
-114.06,24.22,2005-05-13T00:00:00Z
-114.27,24.28,2005-05-14T00:00:00Z
-114.36,24.22,2005-05-15T00:00:00Z
-114.35,24.12,2005-05-16T00:00:00Z
-114.35,23.98,2005-05-17T00:00:00Z
-114.07,23.79,2005-05-18T00:00:00Z
-114.07,23.66,2005-05-19T00:00:00Z
-114.02,23.62,2005-05-20T00:00:00Z
-114.03,23.55,2005-05-21T00:00:00Z
