longitude,latitude,time
degrees_east,degrees_north,UTC
243.095,31.6833,2005-11-12T05:00:00Z
242.9975993,31.5397073,2005-11-13T05:00:00Z
242.9276055,31.38882457,2005-11-14T05:00:00Z
242.8767812,31.24773638,2005-11-15T05:00:00Z
242.8281946,31.10461379,2005-11-16T05:00:00Z
242.8043494,30.99476233,2005-11-17T05:00:00Z
242.7745137,30.86834362,2005-11-18T05:00:00Z
242.6962783,30.76621738,2005-11-19T05:00:00Z
242.584318,30.68035693,2005-11-20T05:00:00Z
242.4953274,30.61384132,2005-11-21T05:00:00Z
242.3733138,30.53851591,2005-11-22T05:00:00Z
242.3416851,30.43073354,2005-11-23T05:00:00Z
242.3757696,30.26878655,2005-11-24T05:00:00Z
242.4654741,30.08764386,2005-11-25T05:00:00Z
242.5702794,29.92982467,2005-11-26T05:00:00Z
242.5726129,29.83261011,2005-11-27T05:00:00Z
242.59061,29.72287775,2005-11-28T05:00:00Z
242.6060241,29.58761747,2005-11-29T05:00:00Z
242.6190054,29.45742196,2005-11-30T05:00:00Z
242.6306252,29.3299296,2005-12-01T05:00:00Z
242.6418795,29.20706988,2005-12-02T05:00:00Z
242.6483482,29.06601126,2005-12-03T05:00:00Z
242.6619108,28.92577157,2005-12-04T05:00:00Z
242.700606,28.79633241,2005-12-05T05:00:00Z
242.7513437,28.67697363,2005-12-06T05:00:00Z
242.8637269,28.53364326,2005-12-07T05:00:00Z
243.0004561,28.39734468,2005-12-08T05:00:00Z
243.1299017,28.27333989,2005-12-09T05:00:00Z
243.2720074,28.14005956,2005-12-10T05:00:00Z
243.4198632,28.01062023,2005-12-11T05:00:00Z
243.5724493,27.8930381,2005-12-12T05:00:00Z
243.7137751,27.73854111,2005-12-13T05:00:00Z
243.8887798,27.57560705,2005-12-14T05:00:00Z
244.0704392,27.41590574,2005-12-15T05:00:00Z
244.205798,27.27959688,2005-12-16T05:00:00Z
244.3367893,27.15365289,2005-12-17T05:00:00Z
244.4421279,27.04797746,2005-12-18T05:00:00Z
244.498223,26.97797988,2005-12-19T05:00:00Z
244.5307984,26.91587768,2005-12-20T05:00:00Z
244.5396586,26.87769027,2005-12-21T05:00:00Z
244.533383,26.84009455,2005-12-22T05:00:00Z
244.5159514,26.83300982,2005-12-23T05:00:00Z
244.5379113,26.83200381,2005-12-24T05:00:00Z
244.5199457,26.82181795,2005-12-25T05:00:00Z
244.5339447,26.7883099,2005-12-26T05:00:00Z
244.536077,26.75273915,2005-12-27T05:00:00Z
244.5145246,26.70448593,2005-12-28T05:00:00Z
244.4614776,26.65962335,2005-12-29T05:00:00Z
244.4106437,26.61489172,2005-12-30T05:00:00Z
244.3500244,26.57454347,2005-12-31T05:00:00Z
244.2341858,26.54519974,2006-01-01T05:00:00Z
244.1782081,26.52826459,2006-01-02T05:00:00Z
244.1193329,26.49730094,2006-01-03T05:00:00Z
244.1178018,26.49285413,2006-01-04T05:00:00Z
244.1180626,26.495159,2006-01-05T05:00:00Z
244.1185888,26.48832853,2006-01-06T05:00:00Z
244.1062767,26.49282438,2006-01-07T05:00:00Z
244.1082421,26.50024772,2006-01-08T05:00:00Z
244.2291556,26.47544197,2006-01-09T05:00:00Z
244.3450471,26.43870384,2006-01-10T05:00:00Z
244.5597689,26.43204555,2006-01-11T05:00:00Z
244.7517088,26.42110047,2006-01-12T05:00:00Z
244.9444244,26.4095577,2006-01-13T05:00:00Z
245.1823639,26.36423922,2006-01-14T05:00:00Z
245.4555497,26.30510513,2006-01-15T05:00:00Z
245.7366554,26.25027013,2006-01-16T05:00:00Z
245.9357484,26.19754497,2006-01-17T05:00:00Z
246.0850751,26.16428997,2006-01-18T05:00:00Z
246.1229034,26.1566555,2006-01-19T05:00:00Z
246.0518271,26.17012444,2006-01-20T05:00:00Z
245.9818457,26.18502309,2006-01-21T05:00:00Z
245.906679,26.19796111,2006-01-22T05:00:00Z
245.7965352,26.21875065,2006-01-23T05:00:00Z
245.6659334,26.22699341,2006-01-24T05:00:00Z
245.5272997,26.22378818,2006-01-25T05:00:00Z
245.4243538,26.18878596,2006-01-26T05:00:00Z
245.3760473,26.12812721,2006-01-27T05:00:00Z
245.4282413,26.04484723,2006-01-28T05:00:00Z
245.49448,25.96776405,2006-01-29T05:00:00Z
245.53107,25.92104653,2006-01-30T05:00:00Z
245.5034379,25.89568004,2006-01-31T05:00:00Z
245.4874459,25.86865162,2006-02-01T05:00:00Z
245.4539625,25.82920356,2006-02-02T05:00:00Z
245.4222331,25.78932978,2006-02-03T05:00:00Z
245.3756008,25.77735768,2006-02-04T05:00:00Z
245.3505148,25.79706717,2006-02-05T05:00:00Z
245.3256919,25.82230397,2006-02-06T05:00:00Z
245.3334327,25.84066021,2006-02-07T05:00:00Z
245.3575732,25.82653414,2006-02-08T05:00:00Z
245.4404408,25.79059021,2006-02-09T05:00:00Z
245.5258456,25.753304,2006-02-10T05:00:00Z
245.6826876,25.69093468,2006-02-11T05:00:00Z
245.8247699,25.60694865,2006-02-12T05:00:00Z
245.9346944,25.52231741,2006-02-13T05:00:00Z
246.0192082,25.44141919,2006-02-14T05:00:00Z
246.0519757,25.36964893,2006-02-15T05:00:00Z
246.1307376,25.28639575,2006-02-16T05:00:00Z
246.2142851,25.21386942,2006-02-17T05:00:00Z
246.2892486,25.13331367,2006-02-18T05:00:00Z
246.3602794,25.08317878,2006-02-19T05:00:00Z
246.434729,25.04097538,2006-02-20T05:00:00Z
246.5018215,25.03751795,2006-02-21T05:00:00Z
246.5727366,25.03234867,2006-02-22T05:00:00Z
246.6279044,25.01155149,2006-02-23T05:00:00Z
246.6754386,24.98115466,2006-02-24T05:00:00Z
246.7135611,24.92850932,2006-02-25T05:00:00Z
246.7746524,24.86311477,2006-02-26T05:00:00Z
246.8332343,24.80425677,2006-02-27T05:00:00Z
246.9157861,24.75214495,2006-02-28T05:00:00Z
246.9980782,24.71462222,2006-03-01T05:00:00Z
