longitude,latitude,time
degrees_east,degrees_north,UTC
-118.73,30.56,2005-08-07T00:00:00Z
-118.71,30.45,2005-08-08T00:00:00Z
-118.8,30.27,2005-08-09T00:00:00Z
-118.8,30.02,2005-08-10T00:00:00Z
-118.87,29.79,2005-08-11T00:00:00Z
-119.01,29.63,2005-08-12T00:00:00Z
-119.19,29.4,2005-08-13T00:00:00Z
-119.34,29.16,2005-08-14T00:00:00Z
-119.36,28.94,2005-08-15T00:00:00Z
-119.57,28.65,2005-08-16T00:00:00Z
-119.9,28.09,2005-08-17T00:00:00Z
-119.81,27.58,2005-08-18T00:00:00Z
-119.68,27.2,2005-08-19T00:00:00Z
-119.62,26.93,2005-08-20T00:00:00Z
-119.41,26.78,2005-08-21T00:00:00Z
-119.27,26.97,2005-08-22T00:00:00Z
-119.13,27.3,2005-08-23T00:00:00Z
-119.08,27.74,2005-08-24T00:00:00Z
-119.04,28.24,2005-08-25T00:00:00Z
-119.04,28.75,2005-08-26T00:00:00Z
-119.07,29.25,2005-08-27T00:00:00Z
-119.13,29.57,2005-08-28T00:00:00Z
-119.09,29.87,2005-08-29T00:00:00Z
-119.13,29.99,2005-08-30T00:00:00Z
-119.21,30.08,2005-08-31T00:00:00Z
-119.19,30.15,2005-09-01T00:00:00Z
-119.11,30.29,2005-09-02T00:00:00Z
-118.93,30.64,2005-09-03T00:00:00Z
-118.96,31.05,2005-09-04T00:00:00Z
-119.21,31.31,2005-09-05T00:00:00Z
-119.34,31.56,2005-09-06T00:00:00Z
-119.46,31.84,2005-09-07T00:00:00Z
-119.6,31.91,2005-09-08T00:00:00Z
-119.87,31.98,2005-09-09T00:00:00Z
-120.22,31.68,2005-09-10T00:00:00Z
-120.06,31.6,2005-09-11T00:00:00Z
-119.98,31.69,2005-09-12T00:00:00Z
-119.81,31.79,2005-09-13T00:00:00Z
-119.62,31.84,2005-09-14T00:00:00Z
-119.44,31.91,2005-09-15T00:00:00Z
-119.31,31.99,2005-09-16T00:00:00Z
-119.32,32.15,2005-09-17T00:00:00Z
-119.45,32.22,2005-09-18T00:00:00Z
-119.53,32.22,2005-09-19T00:00:00Z
-119.63,32.14,2005-09-20T00:00:00Z
-119.52,32.09,2005-09-21T00:00:00Z
-119.49,31.89,2005-09-22T00:00:00Z
-119.5,31.7,2005-09-23T00:00:00Z
-119.37,31.56,2005-09-24T00:00:00Z
-119.42,31.48,2005-09-25T00:00:00Z
-119.4,31.54,2005-09-26T00:00:00Z
-119.41,31.57,2005-09-27T00:00:00Z
