longitude,latitude,time
degrees_east,degrees_north,UTC
-117.38,31.04,2008-07-12T00:00:00Z
-117.63,31.04,2008-07-13T00:00:00Z
-117.62,31.02,2008-07-14T00:00:00Z
-117.62,30.99,2008-07-15T00:00:00Z
-117.63,30.95,2008-07-16T00:00:00Z
-117.65,30.92,2008-07-17T00:00:00Z
-117.69,30.89,2008-07-18T00:00:00Z
-117.62,30.89,2008-07-19T00:00:00Z
-117.81,30.86,2008-07-20T00:00:00Z
-118.01,30.85,2008-07-21T00:00:00Z
-117.99,30.82,2008-07-22T00:00:00Z
-118.01,30.81,2008-07-23T00:00:00Z
-118.08,30.8,2008-07-24T00:00:00Z
-118.1,30.79,2008-07-25T00:00:00Z
-118.1,30.76,2008-07-26T00:00:00Z
-118.15,30.76,2008-07-27T00:00:00Z
-118.29,30.76,2008-07-28T00:00:00Z
-118.21,30.78,2008-07-29T00:00:00Z
-118.17,30.78,2008-07-30T00:00:00Z
-118.09,30.82,2008-07-31T00:00:00Z
-117.78,30.86,2008-08-01T00:00:00Z
-117.86,30.86,2008-08-02T00:00:00Z
-117.96,30.89,2008-08-03T00:00:00Z
-117.93,30.88,2008-08-04T00:00:00Z
