longitude,latitude,time
degrees_east,degrees_north,UTC
-117.06,30.6,2002-08-07T00:00:00Z
-117.16,30.74,2002-08-08T00:00:00Z
-117.32,30.93,2002-08-09T00:00:00Z
-117.49,31.14,2002-08-10T00:00:00Z
-117.67,31.32,2002-08-11T00:00:00Z
-117.81,31.42,2002-08-12T00:00:00Z
-117.91,31.49,2002-08-13T00:00:00Z
-118.01,31.53,2002-08-14T00:00:00Z
-118.1,31.57,2002-08-15T00:00:00Z
-118.2,31.6,2002-08-16T00:00:00Z
-118.26,31.62,2002-08-17T00:00:00Z
-118.32,31.65,2002-08-18T00:00:00Z
-118.38,31.67,2002-08-19T00:00:00Z
-118.43,31.7,2002-08-20T00:00:00Z
-118.47,31.71,2002-08-21T00:00:00Z
-118.49,31.7,2002-08-22T00:00:00Z
-118.49,31.7,2002-08-23T00:00:00Z
-118.45,31.67,2002-08-24T00:00:00Z
-118.4,31.64,2002-08-25T00:00:00Z
-118.34,31.63,2002-08-26T00:00:00Z
-118.31,31.69,2002-08-27T00:00:00Z
-118.35,31.82,2002-08-28T00:00:00Z
-118.52,32.03,2002-08-29T00:00:00Z
-118.72,32.24,2002-08-30T00:00:00Z
-118.9,32.41,2002-08-31T00:00:00Z
-118.98,32.52,2002-09-01T00:00:00Z
-119.08,32.64,2002-09-02T00:00:00Z
-119.22,32.8,2002-09-03T00:00:00Z
-119.34,32.92,2002-09-04T00:00:00Z
-119.43,33.0,2002-09-05T00:00:00Z
-119.55,33.1,2002-09-06T00:00:00Z
-119.96,33.47,2002-09-07T00:00:00Z
-120.4,33.81,2002-09-08T00:00:00Z
-120.67,33.97,2002-09-09T00:00:00Z
-120.86,34.06,2002-09-10T00:00:00Z
-120.98,34.1,2002-09-11T00:00:00Z
-121.07,34.12,2002-09-12T00:00:00Z
-121.18,34.16,2002-09-13T00:00:00Z
-121.32,34.25,2002-09-14T00:00:00Z
-121.55,34.44,2002-09-15T00:00:00Z
-121.78,34.64,2002-09-16T00:00:00Z
-122.02,34.85,2002-09-17T00:00:00Z
