longitude,latitude,time
degrees_east,degrees_north,UTC
-117.47,32.26,2008-07-12T00:00:00Z
-117.46,32.28,2008-07-13T00:00:00Z
-117.47,32.34,2008-07-14T00:00:00Z
-117.52,32.34,2008-07-15T00:00:00Z
-117.49,32.36,2008-07-16T00:00:00Z
-117.63,32.47,2008-07-17T00:00:00Z
-117.78,32.57,2008-07-18T00:00:00Z
-117.94,32.72,2008-07-19T00:00:00Z
-117.96,32.74,2008-07-20T00:00:00Z
-117.95,32.84,2008-07-21T00:00:00Z
-118.05,32.82,2008-07-22T00:00:00Z
-118.18,32.9,2008-07-23T00:00:00Z
-118.3,32.89,2008-07-24T00:00:00Z
-118.27,32.89,2008-07-25T00:00:00Z
