longitude,latitude,time
degrees_east,degrees_north,UTC
-117.1,31.28,2008-07-12T00:00:00Z
-117.26,31.3,2008-07-13T00:00:00Z
-117.44,31.29,2008-07-14T00:00:00Z
-117.46,31.31,2008-07-15T00:00:00Z
-117.56,31.35,2008-07-16T00:00:00Z
-117.7,31.41,2008-07-17T00:00:00Z
-117.62,31.43,2008-07-18T00:00:00Z
-117.81,31.5,2008-07-19T00:00:00Z
-117.94,31.56,2008-07-20T00:00:00Z
-117.92,31.59,2008-07-21T00:00:00Z
-117.98,31.65,2008-07-22T00:00:00Z
-117.94,31.69,2008-07-23T00:00:00Z
-118.13,31.75,2008-07-24T00:00:00Z
-118.33,31.79,2008-07-25T00:00:00Z
-118.29,31.78,2008-07-26T00:00:00Z
-118.26,31.78,2008-07-27T00:00:00Z
-118.35,31.77,2008-07-28T00:00:00Z
-118.33,31.77,2008-07-29T00:00:00Z
