longitude,latitude,time
degrees_east,degrees_north,UTC
-117.51,29.27,2003-07-25T00:00:00Z
-117.46,29.29,2003-07-26T00:00:00Z
-117.53,29.35,2003-07-27T00:00:00Z
-117.54,29.39,2003-07-28T00:00:00Z
-117.53,29.42,2003-07-29T00:00:00Z
-117.41,29.42,2003-07-30T00:00:00Z
-117.12,29.4,2003-07-31T00:00:00Z
-117.07,29.49,2003-08-01T00:00:00Z
-117.11,29.62,2003-08-02T00:00:00Z
-117.18,29.77,2003-08-03T00:00:00Z
-117.07,29.88,2003-08-04T00:00:00Z
-117.14,30.04,2003-08-05T00:00:00Z
-117.12,30.18,2003-08-06T00:00:00Z
-117.2,30.32,2003-08-07T00:00:00Z
-117.12,30.44,2003-08-08T00:00:00Z
-117.31,30.63,2003-08-09T00:00:00Z
-117.36,30.83,2003-08-10T00:00:00Z
-117.45,31.02,2003-08-11T00:00:00Z
-117.46,31.16,2003-08-12T00:00:00Z
-117.4,31.26,2003-08-13T00:00:00Z
-117.57,31.44,2003-08-14T00:00:00Z
-117.75,31.59,2003-08-15T00:00:00Z
-118.06,31.75,2003-08-16T00:00:00Z
-118.27,31.89,2003-08-17T00:00:00Z
-118.53,32.0,2003-08-18T00:00:00Z
-118.69,32.07,2003-08-19T00:00:00Z
-118.68,32.06,2003-08-20T00:00:00Z
-118.71,32.06,2003-08-21T00:00:00Z
-118.74,32.05,2003-08-22T00:00:00Z
-119.02,32.15,2003-08-23T00:00:00Z
-119.32,32.2,2003-08-24T00:00:00Z
-119.58,32.21,2003-08-25T00:00:00Z
-119.76,32.16,2003-08-26T00:00:00Z
-119.94,32.18,2003-08-27T00:00:00Z
-119.95,32.14,2003-08-28T00:00:00Z
-119.84,32.07,2003-08-29T00:00:00Z
-119.73,32.02,2003-08-30T00:00:00Z
-119.58,31.98,2003-08-31T00:00:00Z
-119.41,31.96,2003-09-01T00:00:00Z
-119.35,31.92,2003-09-02T00:00:00Z
-119.39,31.93,2003-09-03T00:00:00Z
-119.35,31.92,2003-09-04T00:00:00Z
-119.18,31.91,2003-09-05T00:00:00Z
-119.16,31.96,2003-09-06T00:00:00Z
-119.3,32.08,2003-09-07T00:00:00Z
-119.63,32.29,2003-09-08T00:00:00Z
-119.9,32.51,2003-09-09T00:00:00Z
-120.16,32.72,2003-09-10T00:00:00Z
-120.25,32.8,2003-09-11T00:00:00Z
-120.27,32.88,2003-09-12T00:00:00Z
-120.26,32.93,2003-09-13T00:00:00Z
-120.31,33.03,2003-09-14T00:00:00Z
-120.33,33.08,2003-09-15T00:00:00Z
-120.47,33.18,2003-09-16T00:00:00Z
-120.51,33.25,2003-09-17T00:00:00Z
-120.55,33.32,2003-09-18T00:00:00Z
-120.7,33.42,2003-09-19T00:00:00Z
-120.92,33.55,2003-09-20T00:00:00Z
-121.06,33.65,2003-09-21T00:00:00Z
-121.11,33.71,2003-09-22T00:00:00Z
-121.05,33.71,2003-09-23T00:00:00Z
-120.96,33.71,2003-09-24T00:00:00Z
-121.05,33.79,2003-09-25T00:00:00Z
-121.25,33.87,2003-09-26T00:00:00Z
-121.22,33.85,2003-09-27T00:00:00Z
-121.27,33.83,2003-09-28T00:00:00Z
-121.29,33.8,2003-09-29T00:00:00Z
-121.41,33.79,2003-09-30T00:00:00Z
-121.52,33.77,2003-10-01T00:00:00Z
-121.54,33.78,2003-10-02T00:00:00Z
-121.61,33.81,2003-10-03T00:00:00Z
-121.66,33.86,2003-10-04T00:00:00Z
-121.68,33.92,2003-10-05T00:00:00Z
-121.72,34.0,2003-10-06T00:00:00Z
-121.7,34.04,2003-10-07T00:00:00Z
-121.6,34.01,2003-10-08T00:00:00Z
-121.29,33.84,2003-10-09T00:00:00Z
-121.01,33.66,2003-10-10T00:00:00Z
-120.53,33.44,2003-10-11T00:00:00Z
-120.22,33.27,2003-10-12T00:00:00Z
-120.11,33.25,2003-10-13T00:00:00Z
-120.27,33.32,2003-10-14T00:00:00Z
-120.65,33.51,2003-10-15T00:00:00Z
-121.02,33.7,2003-10-16T00:00:00Z
-121.63,33.96,2003-10-17T00:00:00Z
-122.34,34.23,2003-10-18T00:00:00Z
-122.68,34.41,2003-10-19T00:00:00Z
-123.11,34.6,2003-10-20T00:00:00Z
-122.79,34.5,2003-10-21T00:00:00Z
-122.51,34.43,2003-10-22T00:00:00Z
-122.25,34.38,2003-10-23T00:00:00Z
-121.97,34.32,2003-10-24T00:00:00Z
-121.64,34.2,2003-10-25T00:00:00Z
-121.59,34.17,2003-10-26T00:00:00Z
-121.59,34.15,2003-10-27T00:00:00Z
-121.83,34.2,2003-10-28T00:00:00Z
-122.14,34.31,2003-10-29T00:00:00Z
-122.22,34.38,2003-10-30T00:00:00Z
-122.34,34.4,2003-10-31T00:00:00Z
-122.02,34.28,2003-11-01T00:00:00Z
-121.83,34.23,2003-11-02T00:00:00Z
-121.72,34.18,2003-11-03T00:00:00Z
-121.78,34.2,2003-11-04T00:00:00Z
-121.97,34.22,2003-11-05T00:00:00Z
-122.0,34.19,2003-11-06T00:00:00Z
-121.92,34.09,2003-11-07T00:00:00Z
-121.99,34.04,2003-11-08T00:00:00Z
-121.95,33.92,2003-11-09T00:00:00Z
-121.98,33.88,2003-11-10T00:00:00Z
-122.02,33.87,2003-11-11T00:00:00Z
-122.04,33.86,2003-11-12T00:00:00Z
-122.03,33.86,2003-11-13T00:00:00Z
