longitude,latitude,time
degrees_east,degrees_north,UTC
-117.16,30.66,2006-12-09T00:00:00Z
-117.25,30.67,2006-12-10T00:00:00Z
-117.34,30.66,2006-12-11T00:00:00Z
-117.38,30.68,2006-12-12T00:00:00Z
-117.48,30.67,2006-12-13T00:00:00Z
-117.47,30.66,2006-12-14T00:00:00Z
-117.55,30.67,2006-12-15T00:00:00Z
-117.57,30.64,2006-12-16T00:00:00Z
-117.47,30.67,2006-12-17T00:00:00Z
-117.71,30.66,2006-12-18T00:00:00Z
-117.69,30.62,2006-12-19T00:00:00Z
-117.9,30.59,2006-12-20T00:00:00Z
-117.87,30.54,2006-12-21T00:00:00Z
-117.86,30.49,2006-12-22T00:00:00Z
-117.77,30.43,2006-12-23T00:00:00Z
-117.78,30.37,2006-12-24T00:00:00Z
-117.71,30.32,2006-12-25T00:00:00Z
-117.76,30.27,2006-12-26T00:00:00Z
-117.74,30.19,2006-12-27T00:00:00Z
-117.53,30.12,2006-12-28T00:00:00Z
-117.53,30.1,2006-12-29T00:00:00Z
-117.47,30.07,2006-12-30T00:00:00Z
-117.48,29.99,2006-12-31T00:00:00Z
-117.4,29.89,2007-01-01T00:00:00Z
-117.38,29.81,2007-01-02T00:00:00Z
-117.22,29.73,2007-01-03T00:00:00Z
-117.32,29.66,2007-01-04T00:00:00Z
-117.18,29.56,2007-01-05T00:00:00Z
-117.11,29.53,2007-01-06T00:00:00Z
-117.11,29.38,2007-01-07T00:00:00Z
-116.9,29.25,2007-01-08T00:00:00Z
-116.96,29.17,2007-01-09T00:00:00Z
-117.01,29.05,2007-01-10T00:00:00Z
-116.67,28.89,2007-01-11T00:00:00Z
-116.66,28.76,2007-01-12T00:00:00Z
-116.6,28.61,2007-01-13T00:00:00Z
-116.43,28.49,2007-01-14T00:00:00Z
-116.51,28.42,2007-01-15T00:00:00Z
-116.61,28.28,2007-01-16T00:00:00Z
-116.5,28.16,2007-01-17T00:00:00Z
-116.74,28.04,2007-01-18T00:00:00Z
-116.68,27.89,2007-01-19T00:00:00Z
-116.78,27.74,2007-01-20T00:00:00Z
-116.79,27.64,2007-01-21T00:00:00Z
-116.49,27.58,2007-01-22T00:00:00Z
-116.47,27.51,2007-01-23T00:00:00Z
-116.33,27.47,2007-01-24T00:00:00Z
-116.41,27.43,2007-01-25T00:00:00Z
-116.08,27.42,2007-01-26T00:00:00Z
-116.21,27.43,2007-01-27T00:00:00Z
-116.22,27.46,2007-01-28T00:00:00Z
-116.34,27.47,2007-01-29T00:00:00Z
-116.41,27.54,2007-01-30T00:00:00Z
-116.71,27.56,2007-01-31T00:00:00Z
-116.92,27.58,2007-02-01T00:00:00Z
-117.03,27.56,2007-02-02T00:00:00Z
-117.16,27.58,2007-02-03T00:00:00Z
-117.41,27.56,2007-02-04T00:00:00Z
-117.22,27.58,2007-02-05T00:00:00Z
-117.36,27.6,2007-02-06T00:00:00Z
-117.31,27.62,2007-02-07T00:00:00Z
-117.25,27.61,2007-02-08T00:00:00Z
-117.23,27.69,2007-02-09T00:00:00Z
-117.25,27.71,2007-02-10T00:00:00Z
-117.07,27.76,2007-02-11T00:00:00Z
-117.18,27.79,2007-02-12T00:00:00Z
-117.05,27.83,2007-02-13T00:00:00Z
-117.11,27.77,2007-02-14T00:00:00Z
-116.95,27.73,2007-02-15T00:00:00Z
-116.94,27.7,2007-02-16T00:00:00Z
-116.9,27.68,2007-02-17T00:00:00Z
-116.72,27.69,2007-02-18T00:00:00Z
-116.68,27.78,2007-02-19T00:00:00Z
-116.79,27.81,2007-02-20T00:00:00Z
-116.63,27.87,2007-02-21T00:00:00Z
-116.71,27.96,2007-02-22T00:00:00Z
