longitude,latitude,time
degrees_east,degrees_north,UTC
-117.13,30.58,2005-11-13T00:00:00Z
-117.31,30.62,2005-11-14T00:00:00Z
-117.48,30.64,2005-11-15T00:00:00Z
-117.59,30.56,2005-11-16T00:00:00Z
-117.64,30.44,2005-11-17T00:00:00Z
-117.75,30.37,2005-11-18T00:00:00Z
-117.83,30.35,2005-11-19T00:00:00Z
-117.9,30.29,2005-11-20T00:00:00Z
-117.95,30.24,2005-11-21T00:00:00Z
-117.99,30.15,2005-11-22T00:00:00Z
-117.98,29.98,2005-11-23T00:00:00Z
-117.93,29.75,2005-11-24T00:00:00Z
-117.89,29.49,2005-11-25T00:00:00Z
-117.83,29.24,2005-11-26T00:00:00Z
-117.78,29.05,2005-11-27T00:00:00Z
-117.69,28.89,2005-11-28T00:00:00Z
-117.65,28.82,2005-11-29T00:00:00Z
-117.65,28.84,2005-11-30T00:00:00Z
-117.68,28.91,2005-12-01T00:00:00Z
-117.79,29.08,2005-12-02T00:00:00Z
-117.76,29.2,2005-12-03T00:00:00Z
-117.82,29.39,2005-12-04T00:00:00Z
-117.94,29.66,2005-12-05T00:00:00Z
-118.0,29.89,2005-12-06T00:00:00Z
-118.04,30.13,2005-12-07T00:00:00Z
-118.06,30.4,2005-12-08T00:00:00Z
-117.95,30.52,2005-12-09T00:00:00Z
-118.0,30.68,2005-12-10T00:00:00Z
-118.1,30.81,2005-12-11T00:00:00Z
-118.23,30.96,2005-12-12T00:00:00Z
-118.48,31.18,2005-12-13T00:00:00Z
-118.65,31.24,2005-12-14T00:00:00Z
-118.68,31.15,2005-12-15T00:00:00Z
-118.35,30.77,2005-12-16T00:00:00Z
-118.06,30.53,2005-12-17T00:00:00Z
-118.02,30.49,2005-12-18T00:00:00Z
-117.96,30.28,2005-12-19T00:00:00Z
-117.82,29.99,2005-12-20T00:00:00Z
-117.72,29.79,2005-12-21T00:00:00Z
-117.58,29.58,2005-12-22T00:00:00Z
-117.35,29.37,2005-12-23T00:00:00Z
-117.24,29.38,2005-12-24T00:00:00Z
-117.24,29.54,2005-12-25T00:00:00Z
-117.48,29.93,2005-12-26T00:00:00Z
-117.94,30.47,2005-12-27T00:00:00Z
-118.37,30.92,2005-12-28T00:00:00Z
-118.53,31.11,2005-12-29T00:00:00Z
-118.67,31.33,2005-12-30T00:00:00Z
-118.92,31.61,2005-12-31T00:00:00Z
-119.36,32.0,2006-01-01T00:00:00Z
-119.81,32.36,2006-01-02T00:00:00Z
-120.14,32.55,2006-01-03T00:00:00Z
-120.32,32.58,2006-01-04T00:00:00Z
-120.48,32.59,2006-01-05T00:00:00Z
-120.71,32.67,2006-01-06T00:00:00Z
-120.63,32.45,2006-01-07T00:00:00Z
-120.46,32.14,2006-01-08T00:00:00Z
-120.07,31.65,2006-01-09T00:00:00Z
-119.57,31.09,2006-01-10T00:00:00Z
-118.87,30.31,2006-01-11T00:00:00Z
-118.16,29.59,2006-01-12T00:00:00Z
-117.4,28.82,2006-01-13T00:00:00Z
-116.63,28.09,2006-01-14T00:00:00Z
-116.13,27.6,2006-01-15T00:00:00Z
-115.89,27.29,2006-01-16T00:00:00Z
-115.84,27.15,2006-01-17T00:00:00Z
-115.82,27.07,2006-01-18T00:00:00Z
-115.86,27.12,2006-01-19T00:00:00Z
-115.82,27.11,2006-01-20T00:00:00Z
-115.76,27.14,2006-01-21T00:00:00Z
-115.7,27.22,2006-01-22T00:00:00Z
-115.83,27.49,2006-01-23T00:00:00Z
-116.04,27.84,2006-01-24T00:00:00Z
-116.04,28.02,2006-01-25T00:00:00Z
-115.97,28.21,2006-01-26T00:00:00Z
-116.21,28.64,2006-01-27T00:00:00Z
-116.46,29.09,2006-01-28T00:00:00Z
-116.7,29.52,2006-01-29T00:00:00Z
-116.79,29.79,2006-01-30T00:00:00Z
-116.68,29.85,2006-01-31T00:00:00Z
-116.78,30.12,2006-02-01T00:00:00Z
-116.98,30.35,2006-02-02T00:00:00Z
-116.98,30.38,2006-02-03T00:00:00Z
-116.96,30.4,2006-02-04T00:00:00Z
-116.91,30.46,2006-02-05T00:00:00Z
-116.99,30.57,2006-02-06T00:00:00Z
-117.03,30.63,2006-02-07T00:00:00Z
-117.07,30.71,2006-02-08T00:00:00Z
-117.14,30.81,2006-02-09T00:00:00Z
-117.26,31.03,2006-02-10T00:00:00Z
-117.4,31.22,2006-02-11T00:00:00Z
-117.4,31.19,2006-02-12T00:00:00Z
-117.27,31.0,2006-02-13T00:00:00Z
-117.14,30.74,2006-02-14T00:00:00Z
-117.0,30.46,2006-02-15T00:00:00Z
-117.09,30.36,2006-02-16T00:00:00Z
-117.11,30.08,2006-02-17T00:00:00Z
-117.15,29.74,2006-02-18T00:00:00Z
-117.09,29.37,2006-02-19T00:00:00Z
-116.97,29.05,2006-02-20T00:00:00Z
-116.7,28.61,2006-02-21T00:00:00Z
-116.37,28.11,2006-02-22T00:00:00Z
-116.06,27.75,2006-02-23T00:00:00Z
-116.02,27.71,2006-02-24T00:00:00Z
-116.08,27.75,2006-02-25T00:00:00Z
-116.1,27.83,2006-02-26T00:00:00Z
-116.38,28.17,2006-02-27T00:00:00Z
-116.65,28.53,2006-02-28T00:00:00Z
-116.88,28.87,2006-03-01T00:00:00Z
-117.04,29.14,2006-03-02T00:00:00Z
-116.91,29.1,2006-03-03T00:00:00Z
-116.5,28.72,2006-03-04T00:00:00Z
-116.21,28.37,2006-03-05T00:00:00Z
-116.04,28.19,2006-03-06T00:00:00Z
-116.33,28.39,2006-03-07T00:00:00Z
-116.67,28.54,2006-03-08T00:00:00Z
-116.7,28.41,2006-03-09T00:00:00Z
-116.54,28.16,2006-03-10T00:00:00Z
-116.34,27.89,2006-03-11T00:00:00Z
-116.09,27.62,2006-03-12T00:00:00Z
-115.99,27.42,2006-03-13T00:00:00Z
-116.05,27.3,2006-03-14T00:00:00Z
-116.03,27.12,2006-03-15T00:00:00Z
-115.69,26.69,2006-03-16T00:00:00Z
-115.05,26.07,2006-03-17T00:00:00Z
-114.28,25.39,2006-03-18T00:00:00Z
-113.72,24.95,2006-03-19T00:00:00Z
-113.49,24.78,2006-03-20T00:00:00Z
-113.13,24.4,2006-03-21T00:00:00Z
-112.85,24.14,2006-03-22T00:00:00Z
-112.73,24.0,2006-03-23T00:00:00Z
-112.64,23.89,2006-03-24T00:00:00Z
-112.6,23.85,2006-03-25T00:00:00Z
-112.61,23.86,2006-03-26T00:00:00Z
