longitude,latitude,time
degrees_east,degrees_north,UTC
-117.55,31.62,2008-07-14T00:00:00Z
-117.63,31.67,2008-07-15T00:00:00Z
-117.86,31.77,2008-07-16T00:00:00Z
-117.8,31.88,2008-07-17T00:00:00Z
-117.91,32.03,2008-07-18T00:00:00Z
-118.14,32.19,2008-07-19T00:00:00Z
-118.17,32.37,2008-07-20T00:00:00Z
-118.26,32.53,2008-07-21T00:00:00Z
-118.34,32.7,2008-07-22T00:00:00Z
-118.24,32.82,2008-07-23T00:00:00Z
-118.44,32.95,2008-07-24T00:00:00Z
-118.23,33.04,2008-07-25T00:00:00Z
-118.19,33.1,2008-07-26T00:00:00Z
-118.17,33.13,2008-07-27T00:00:00Z
-118.12,33.1,2008-07-28T00:00:00Z
-118.13,33.13,2008-07-29T00:00:00Z
