longitude,latitude,time
degrees_east,degrees_north,UTC
-118.08,30.96,2002-11-15T00:00:00Z
-118.18,31.05,2002-11-16T00:00:00Z
-118.27,31.11,2002-11-17T00:00:00Z
-118.15,31.01,2002-11-18T00:00:00Z
-117.99,30.9,2002-11-19T00:00:00Z
-117.83,30.77,2002-11-20T00:00:00Z
-117.57,30.57,2002-11-21T00:00:00Z
-117.28,30.35,2002-11-22T00:00:00Z
-116.95,30.09,2002-11-23T00:00:00Z
-116.63,29.8,2002-11-24T00:00:00Z
-116.3,29.47,2002-11-25T00:00:00Z
-116.07,29.19,2002-11-26T00:00:00Z
-115.89,28.95,2002-11-27T00:00:00Z
-115.83,28.8,2002-11-28T00:00:00Z
-115.79,28.69,2002-11-29T00:00:00Z
-115.77,28.6,2002-11-30T00:00:00Z
-115.8,28.56,2002-12-01T00:00:00Z
-115.84,28.55,2002-12-02T00:00:00Z
-115.87,28.53,2002-12-03T00:00:00Z
-115.92,28.54,2002-12-04T00:00:00Z
-115.96,28.51,2002-12-05T00:00:00Z
-116.02,28.5,2002-12-06T00:00:00Z
-116.05,28.44,2002-12-07T00:00:00Z
-116.1,28.39,2002-12-08T00:00:00Z
-116.16,28.38,2002-12-09T00:00:00Z
-116.22,28.41,2002-12-10T00:00:00Z
-116.3,28.47,2002-12-11T00:00:00Z
-116.33,28.52,2002-12-12T00:00:00Z
-116.3,28.51,2002-12-13T00:00:00Z
-116.21,28.48,2002-12-14T00:00:00Z
-116.08,28.46,2002-12-15T00:00:00Z
-116.0,28.46,2002-12-16T00:00:00Z
-115.91,28.47,2002-12-17T00:00:00Z
-115.9,28.54,2002-12-18T00:00:00Z
-116.02,28.7,2002-12-19T00:00:00Z
-116.11,28.85,2002-12-20T00:00:00Z
-116.35,29.1,2002-12-21T00:00:00Z
-116.54,29.33,2002-12-22T00:00:00Z
-116.76,29.59,2002-12-23T00:00:00Z
-116.98,29.9,2002-12-24T00:00:00Z
-117.28,30.19,2002-12-25T00:00:00Z
-117.37,30.28,2002-12-26T00:00:00Z
-117.29,30.23,2002-12-27T00:00:00Z
-117.2,30.2,2002-12-28T00:00:00Z
-117.08,30.18,2002-12-29T00:00:00Z
-117.0,30.21,2002-12-30T00:00:00Z
-117.1,30.32,2002-12-31T00:00:00Z
-117.17,30.41,2003-01-01T00:00:00Z
-117.42,30.65,2003-01-02T00:00:00Z
-117.82,30.93,2003-01-03T00:00:00Z
-118.36,31.28,2003-01-04T00:00:00Z
-118.9,31.55,2003-01-05T00:00:00Z
-119.26,31.71,2003-01-06T00:00:00Z
-119.59,31.83,2003-01-07T00:00:00Z
-119.85,31.9,2003-01-08T00:00:00Z
-120.06,31.97,2003-01-09T00:00:00Z
-120.29,32.08,2003-01-10T00:00:00Z
-120.38,32.1,2003-01-11T00:00:00Z
-120.37,32.12,2003-01-12T00:00:00Z
-120.48,32.23,2003-01-13T00:00:00Z
-120.45,32.2,2003-01-14T00:00:00Z
-120.21,32.07,2003-01-15T00:00:00Z
-119.95,31.89,2003-01-16T00:00:00Z
-119.64,31.68,2003-01-17T00:00:00Z
-119.37,31.51,2003-01-18T00:00:00Z
-119.33,31.48,2003-01-19T00:00:00Z
-119.29,31.46,2003-01-20T00:00:00Z
-119.15,31.4,2003-01-21T00:00:00Z
-119.06,31.36,2003-01-22T00:00:00Z
-118.83,31.24,2003-01-23T00:00:00Z
-118.59,31.14,2003-01-24T00:00:00Z
-118.46,31.1,2003-01-25T00:00:00Z
-118.32,31.0,2003-01-26T00:00:00Z
-118.21,30.9,2003-01-27T00:00:00Z
-118.13,30.82,2003-01-28T00:00:00Z
-118.0,30.67,2003-01-29T00:00:00Z
-117.87,30.53,2003-01-30T00:00:00Z
-117.78,30.41,2003-01-31T00:00:00Z
-117.74,30.28,2003-02-01T00:00:00Z
-117.76,30.18,2003-02-02T00:00:00Z
-117.85,30.13,2003-02-03T00:00:00Z
-117.97,30.05,2003-02-04T00:00:00Z
-117.96,29.88,2003-02-05T00:00:00Z
-117.82,29.61,2003-02-06T00:00:00Z
-117.59,29.33,2003-02-07T00:00:00Z
-117.46,29.11,2003-02-08T00:00:00Z
-117.43,28.94,2003-02-09T00:00:00Z
-117.32,28.71,2003-02-10T00:00:00Z
-116.98,28.36,2003-02-11T00:00:00Z
-116.72,28.03,2003-02-12T00:00:00Z
-116.33,27.67,2003-02-13T00:00:00Z
-116.07,27.4,2003-02-14T00:00:00Z
-115.83,27.17,2003-02-15T00:00:00Z
-115.7,27.04,2003-02-16T00:00:00Z
-115.67,26.93,2003-02-17T00:00:00Z
-115.54,26.78,2003-02-18T00:00:00Z
-115.42,26.62,2003-02-19T00:00:00Z
-115.28,26.46,2003-02-20T00:00:00Z
-115.02,26.24,2003-02-21T00:00:00Z
-114.85,26.13,2003-02-22T00:00:00Z
-114.85,26.09,2003-02-23T00:00:00Z
-114.8,26.01,2003-02-24T00:00:00Z
-114.69,25.9,2003-02-25T00:00:00Z
-114.64,25.84,2003-02-26T00:00:00Z
-114.74,25.91,2003-02-27T00:00:00Z
-114.75,25.96,2003-02-28T00:00:00Z
-114.69,26.02,2003-03-01T00:00:00Z
-114.72,26.1,2003-03-02T00:00:00Z
-114.64,26.08,2003-03-03T00:00:00Z
-114.41,26.0,2003-03-04T00:00:00Z
-114.34,26.01,2003-03-05T00:00:00Z
-114.27,26.0,2003-03-06T00:00:00Z
-114.26,26.0,2003-03-07T00:00:00Z
-114.11,25.91,2003-03-08T00:00:00Z
-114.0,25.87,2003-03-09T00:00:00Z
-113.97,25.88,2003-03-10T00:00:00Z
-113.97,25.91,2003-03-11T00:00:00Z
-114.05,26.02,2003-03-12T00:00:00Z
-114.23,26.19,2003-03-13T00:00:00Z
-114.44,26.36,2003-03-14T00:00:00Z
-114.75,26.59,2003-03-15T00:00:00Z
-115.2,26.91,2003-03-16T00:00:00Z
-115.54,27.13,2003-03-17T00:00:00Z
-115.73,27.29,2003-03-18T00:00:00Z
-115.91,27.47,2003-03-19T00:00:00Z
-116.06,27.63,2003-03-20T00:00:00Z
-116.14,27.73,2003-03-21T00:00:00Z
-116.06,27.7,2003-03-22T00:00:00Z
-116.06,27.73,2003-03-23T00:00:00Z
-116.01,27.68,2003-03-24T00:00:00Z
-115.81,27.48,2003-03-25T00:00:00Z
-115.52,27.21,2003-03-26T00:00:00Z
-115.26,26.99,2003-03-27T00:00:00Z
-115.16,26.85,2003-03-28T00:00:00Z
-114.97,26.66,2003-03-29T00:00:00Z
-114.8,26.52,2003-03-30T00:00:00Z
-114.7,26.41,2003-03-31T00:00:00Z
-114.67,26.35,2003-04-01T00:00:00Z
-114.66,26.29,2003-04-02T00:00:00Z
-114.66,26.32,2003-04-03T00:00:00Z
-114.65,26.31,2003-04-04T00:00:00Z
-114.52,26.21,2003-04-05T00:00:00Z
-114.24,26.01,2003-04-06T00:00:00Z
-114.11,25.93,2003-04-07T00:00:00Z
-114.22,26.01,2003-04-08T00:00:00Z
-114.35,26.08,2003-04-09T00:00:00Z
-114.51,26.17,2003-04-10T00:00:00Z
-114.69,26.27,2003-04-11T00:00:00Z
-114.97,26.43,2003-04-12T00:00:00Z
-115.42,26.69,2003-04-13T00:00:00Z
-115.78,26.84,2003-04-14T00:00:00Z
-115.92,26.88,2003-04-15T00:00:00Z
-116.06,26.92,2003-04-16T00:00:00Z
-115.97,26.8,2003-04-17T00:00:00Z
-115.87,26.74,2003-04-18T00:00:00Z
-115.73,26.67,2003-04-19T00:00:00Z
-115.6,26.6,2003-04-20T00:00:00Z
-115.37,26.46,2003-04-21T00:00:00Z
-115.02,26.24,2003-04-22T00:00:00Z
-114.7,26.05,2003-04-23T00:00:00Z
-114.44,25.87,2003-04-24T00:00:00Z
-114.22,25.72,2003-04-25T00:00:00Z
-114.18,25.65,2003-04-26T00:00:00Z
-114.13,25.56,2003-04-27T00:00:00Z
-114.17,25.5,2003-04-28T00:00:00Z
-114.17,25.46,2003-04-29T00:00:00Z
-114.22,25.46,2003-04-30T00:00:00Z
-114.18,25.36,2003-05-01T00:00:00Z
-114.1,25.24,2003-05-02T00:00:00Z
-114.04,25.17,2003-05-03T00:00:00Z
-114.02,25.13,2003-05-04T00:00:00Z
-114.05,25.14,2003-05-05T00:00:00Z
-114.13,25.18,2003-05-06T00:00:00Z
-114.15,25.17,2003-05-07T00:00:00Z
-114.18,25.16,2003-05-08T00:00:00Z
-114.26,25.15,2003-05-09T00:00:00Z
-114.31,25.12,2003-05-10T00:00:00Z
-114.43,25.15,2003-05-11T00:00:00Z
-114.59,25.19,2003-05-12T00:00:00Z
-114.8,25.28,2003-05-13T00:00:00Z
-114.99,25.35,2003-05-14T00:00:00Z
-115.11,25.38,2003-05-15T00:00:00Z
-115.26,25.47,2003-05-16T00:00:00Z
-115.42,25.63,2003-05-17T00:00:00Z
-115.6,25.78,2003-05-18T00:00:00Z
-115.77,25.92,2003-05-19T00:00:00Z
-115.79,25.95,2003-05-20T00:00:00Z
-115.78,25.98,2003-05-21T00:00:00Z
-115.71,25.98,2003-05-22T00:00:00Z
-115.56,25.94,2003-05-23T00:00:00Z
-115.26,25.83,2003-05-24T00:00:00Z
-114.95,25.71,2003-05-25T00:00:00Z
-114.64,25.59,2003-05-26T00:00:00Z
-114.43,25.51,2003-05-27T00:00:00Z
-114.29,25.43,2003-05-28T00:00:00Z
-114.17,25.39,2003-05-29T00:00:00Z
-114.14,25.39,2003-05-30T00:00:00Z
-114.15,25.43,2003-05-31T00:00:00Z
-114.1,25.4,2003-06-01T00:00:00Z
-114.04,25.37,2003-06-02T00:00:00Z
-113.94,25.32,2003-06-03T00:00:00Z
-113.86,25.26,2003-06-04T00:00:00Z
-113.76,25.21,2003-06-05T00:00:00Z
-113.74,25.19,2003-06-06T00:00:00Z
-113.65,25.13,2003-06-07T00:00:00Z
-113.46,25.0,2003-06-08T00:00:00Z
-113.27,24.87,2003-06-09T00:00:00Z
-113.1,24.76,2003-06-10T00:00:00Z
-112.96,24.67,2003-06-11T00:00:00Z
-112.98,24.66,2003-06-12T00:00:00Z
-113.02,24.66,2003-06-13T00:00:00Z
-113.04,24.65,2003-06-14T00:00:00Z
-113.03,24.61,2003-06-15T00:00:00Z
-113.03,24.59,2003-06-16T00:00:00Z
-113.04,24.56,2003-06-17T00:00:00Z
-113.05,24.53,2003-06-18T00:00:00Z
-113.06,24.52,2003-06-19T00:00:00Z
-113.07,24.51,2003-06-20T00:00:00Z
-113.14,24.55,2003-06-21T00:00:00Z
-113.25,24.62,2003-06-22T00:00:00Z
-113.33,24.69,2003-06-23T00:00:00Z
-113.46,24.82,2003-06-24T00:00:00Z
-113.66,24.97,2003-06-25T00:00:00Z
-113.69,25.04,2003-06-26T00:00:00Z
-113.77,25.13,2003-06-27T00:00:00Z
-113.91,25.24,2003-06-28T00:00:00Z
-114.21,25.45,2003-06-29T00:00:00Z
-114.66,25.69,2003-06-30T00:00:00Z
-114.88,25.76,2003-07-01T00:00:00Z
-115.02,25.77,2003-07-02T00:00:00Z
-114.99,25.69,2003-07-03T00:00:00Z
