longitude,latitude,time
degrees_east,degrees_north,UTC
-117.23,31.19,2008-07-11T00:00:00Z
-117.39,31.21,2008-07-12T00:00:00Z
-117.48,31.22,2008-07-13T00:00:00Z
-117.46,31.2,2008-07-14T00:00:00Z
-117.47,31.18,2008-07-15T00:00:00Z
-117.48,31.16,2008-07-16T00:00:00Z
-117.52,31.16,2008-07-17T00:00:00Z
-117.47,31.12,2008-07-18T00:00:00Z
-117.45,31.11,2008-07-19T00:00:00Z
-117.59,31.12,2008-07-20T00:00:00Z
-117.67,31.12,2008-07-21T00:00:00Z
-117.99,31.18,2008-07-22T00:00:00Z
-118.17,31.2,2008-07-23T00:00:00Z
-118.22,31.17,2008-07-24T00:00:00Z
-118.27,31.15,2008-07-25T00:00:00Z
-118.43,31.14,2008-07-26T00:00:00Z
-118.52,31.11,2008-07-27T00:00:00Z
-118.73,31.1,2008-07-28T00:00:00Z
-118.91,31.1,2008-07-29T00:00:00Z
-118.98,31.06,2008-07-30T00:00:00Z
-119.0,31.01,2008-07-31T00:00:00Z
-119.02,30.95,2008-08-01T00:00:00Z
-119.1,30.9,2008-08-02T00:00:00Z
-119.07,30.82,2008-08-03T00:00:00Z
-119.02,30.71,2008-08-04T00:00:00Z
-119.02,30.61,2008-08-05T00:00:00Z
-119.09,30.55,2008-08-06T00:00:00Z
-119.34,30.54,2008-08-07T00:00:00Z
-119.58,30.55,2008-08-08T00:00:00Z
-119.65,30.53,2008-08-09T00:00:00Z
-119.45,30.43,2008-08-10T00:00:00Z
-119.22,30.34,2008-08-11T00:00:00Z
-118.86,30.24,2008-08-12T00:00:00Z
-118.61,30.16,2008-08-13T00:00:00Z
-118.6,30.13,2008-08-14T00:00:00Z
-118.92,30.17,2008-08-15T00:00:00Z
-119.37,30.26,2008-08-16T00:00:00Z
-119.92,30.39,2008-08-17T00:00:00Z
-120.09,30.44,2008-08-18T00:00:00Z
-120.16,30.47,2008-08-19T00:00:00Z
-120.28,30.51,2008-08-20T00:00:00Z
-120.32,30.53,2008-08-21T00:00:00Z
-120.39,30.57,2008-08-22T00:00:00Z
-120.43,30.57,2008-08-23T00:00:00Z
-120.38,30.57,2008-08-24T00:00:00Z
-120.33,30.57,2008-08-25T00:00:00Z
-120.33,30.58,2008-08-26T00:00:00Z
-120.4,30.61,2008-08-27T00:00:00Z
-120.47,30.66,2008-08-28T00:00:00Z
-120.52,30.7,2008-08-29T00:00:00Z
-120.47,30.71,2008-08-30T00:00:00Z
-120.53,30.77,2008-08-31T00:00:00Z
-120.68,30.85,2008-09-01T00:00:00Z
-120.73,30.91,2008-09-02T00:00:00Z
-120.9,31.03,2008-09-03T00:00:00Z
-121.17,31.17,2008-09-04T00:00:00Z
-121.55,31.36,2008-09-05T00:00:00Z
-122.05,31.61,2008-09-06T00:00:00Z
-122.75,31.94,2008-09-07T00:00:00Z
-123.47,32.28,2008-09-08T00:00:00Z
-123.93,32.57,2008-09-09T00:00:00Z
-124.0,32.77,2008-09-10T00:00:00Z
-124.02,32.97,2008-09-11T00:00:00Z
-123.9,33.11,2008-09-12T00:00:00Z
-123.86,33.28,2008-09-13T00:00:00Z
-123.86,33.45,2008-09-14T00:00:00Z
-123.92,33.63,2008-09-15T00:00:00Z
-123.92,33.77,2008-09-16T00:00:00Z
-123.93,33.9,2008-09-17T00:00:00Z
-123.93,34.01,2008-09-18T00:00:00Z
-123.9,34.12,2008-09-19T00:00:00Z
-123.83,34.21,2008-09-20T00:00:00Z
-123.81,34.31,2008-09-21T00:00:00Z
-123.91,34.43,2008-09-22T00:00:00Z
-123.9,34.51,2008-09-23T00:00:00Z
-123.88,34.57,2008-09-24T00:00:00Z
-123.87,34.63,2008-09-25T00:00:00Z
-123.84,34.69,2008-09-26T00:00:00Z
-123.71,34.71,2008-09-27T00:00:00Z
-123.62,34.74,2008-09-28T00:00:00Z
-123.4,34.75,2008-09-29T00:00:00Z
-123.29,34.76,2008-09-30T00:00:00Z
-123.32,34.8,2008-10-01T00:00:00Z
-123.22,34.81,2008-10-02T00:00:00Z
-123.05,34.78,2008-10-03T00:00:00Z
-122.78,34.71,2008-10-04T00:00:00Z
-122.49,34.64,2008-10-05T00:00:00Z
-122.34,34.58,2008-10-06T00:00:00Z
-122.39,34.56,2008-10-07T00:00:00Z
-122.35,34.51,2008-10-08T00:00:00Z
-122.24,34.43,2008-10-09T00:00:00Z
-122.0,34.29,2008-10-10T00:00:00Z
-121.71,34.12,2008-10-11T00:00:00Z
-121.44,33.93,2008-10-12T00:00:00Z
-121.32,33.76,2008-10-13T00:00:00Z
-121.22,33.61,2008-10-14T00:00:00Z
-121.23,33.49,2008-10-15T00:00:00Z
-121.17,33.38,2008-10-16T00:00:00Z
-121.23,33.3,2008-10-17T00:00:00Z
-121.26,33.22,2008-10-18T00:00:00Z
-121.13,33.12,2008-10-19T00:00:00Z
-120.96,33.02,2008-10-20T00:00:00Z
-120.75,32.92,2008-10-21T00:00:00Z
-120.56,32.8,2008-10-22T00:00:00Z
-120.26,32.7,2008-10-23T00:00:00Z
-119.95,32.59,2008-10-24T00:00:00Z
-119.61,32.46,2008-10-25T00:00:00Z
-119.23,32.35,2008-10-26T00:00:00Z
-118.79,32.22,2008-10-27T00:00:00Z
-118.35,32.1,2008-10-28T00:00:00Z
-118.07,32.01,2008-10-29T00:00:00Z
-117.74,31.92,2008-10-30T00:00:00Z
-117.63,31.84,2008-10-31T00:00:00Z
-117.57,31.76,2008-11-01T00:00:00Z
-117.5,31.68,2008-11-02T00:00:00Z
-117.43,31.58,2008-11-03T00:00:00Z
-117.53,31.54,2008-11-04T00:00:00Z
-117.6,31.52,2008-11-05T00:00:00Z
-117.67,31.49,2008-11-06T00:00:00Z
-117.74,31.46,2008-11-07T00:00:00Z
-117.95,31.47,2008-11-08T00:00:00Z
-118.21,31.5,2008-11-09T00:00:00Z
-118.38,31.5,2008-11-10T00:00:00Z
-118.54,31.5,2008-11-11T00:00:00Z
-118.9,31.55,2008-11-12T00:00:00Z
-119.28,31.62,2008-11-13T00:00:00Z
-119.69,31.7,2008-11-14T00:00:00Z
-120.12,31.78,2008-11-15T00:00:00Z
-120.48,31.86,2008-11-16T00:00:00Z
-120.87,31.96,2008-11-17T00:00:00Z
-121.23,32.06,2008-11-18T00:00:00Z
-121.59,32.16,2008-11-19T00:00:00Z
-122.11,32.31,2008-11-20T00:00:00Z
-122.52,32.42,2008-11-21T00:00:00Z
-122.79,32.5,2008-11-22T00:00:00Z
-123.0,32.58,2008-11-23T00:00:00Z
-123.13,32.62,2008-11-24T00:00:00Z
-123.58,32.75,2008-11-25T00:00:00Z
-123.88,32.84,2008-11-26T00:00:00Z
-124.16,32.94,2008-11-27T00:00:00Z
-124.47,33.07,2008-11-28T00:00:00Z
-124.76,33.21,2008-11-29T00:00:00Z
-124.96,33.35,2008-11-30T00:00:00Z
-124.81,33.41,2008-12-01T00:00:00Z
-124.62,33.45,2008-12-02T00:00:00Z
-124.44,33.5,2008-12-03T00:00:00Z
-124.25,33.51,2008-12-04T00:00:00Z
-124.16,33.55,2008-12-05T00:00:00Z
-124.1,33.61,2008-12-06T00:00:00Z
-124.13,33.66,2008-12-07T00:00:00Z
-124.19,33.73,2008-12-08T00:00:00Z
-124.43,33.82,2008-12-09T00:00:00Z
-124.34,33.85,2008-12-10T00:00:00Z
-124.22,33.83,2008-12-11T00:00:00Z
-124.21,33.82,2008-12-12T00:00:00Z
