longitude,latitude,time
degrees_east,degrees_north,UTC
-117.32,28.79,2005-03-12T00:00:00Z
-117.13,28.76,2005-03-13T00:00:00Z
-117.02,28.77,2005-03-14T00:00:00Z
-116.79,28.64,2005-03-15T00:00:00Z
-116.62,28.53,2005-03-16T00:00:00Z
-116.56,28.47,2005-03-17T00:00:00Z
-116.63,28.47,2005-03-18T00:00:00Z
-116.72,28.5,2005-03-19T00:00:00Z
-116.75,28.51,2005-03-20T00:00:00Z
-116.87,28.62,2005-03-21T00:00:00Z
-116.94,28.7,2005-03-22T00:00:00Z
-116.94,28.73,2005-03-23T00:00:00Z
-116.87,28.7,2005-03-24T00:00:00Z
-116.84,28.74,2005-03-25T00:00:00Z
-116.88,28.8,2005-03-26T00:00:00Z
-116.92,28.84,2005-03-27T00:00:00Z
-117.13,29.04,2005-03-28T00:00:00Z
-117.24,29.18,2005-03-29T00:00:00Z
-117.34,29.3,2005-03-30T00:00:00Z
-117.29,29.24,2005-03-31T00:00:00Z
-117.26,29.19,2005-04-01T00:00:00Z
-117.22,29.18,2005-04-02T00:00:00Z
-117.24,29.16,2005-04-03T00:00:00Z
-117.22,29.13,2005-04-04T00:00:00Z
-117.25,29.1,2005-04-05T00:00:00Z
-117.28,29.02,2005-04-06T00:00:00Z
-117.26,28.93,2005-04-07T00:00:00Z
-117.3,28.85,2005-04-08T00:00:00Z
-117.22,28.77,2005-04-09T00:00:00Z
-117.09,28.65,2005-04-10T00:00:00Z
-116.94,28.59,2005-04-11T00:00:00Z
-116.89,28.53,2005-04-12T00:00:00Z
-116.86,28.5,2005-04-13T00:00:00Z
-116.79,28.47,2005-04-14T00:00:00Z
-116.74,28.44,2005-04-15T00:00:00Z
-116.73,28.44,2005-04-16T00:00:00Z
-116.76,28.45,2005-04-17T00:00:00Z
-116.77,28.44,2005-04-18T00:00:00Z
-116.65,28.32,2005-04-19T00:00:00Z
-116.4,28.11,2005-04-20T00:00:00Z
-116.16,27.92,2005-04-21T00:00:00Z
-115.8,27.62,2005-04-22T00:00:00Z
-115.41,27.29,2005-04-23T00:00:00Z
