"degrees_east","degrees_north","UTC"
-122.18,34.31,2003-10-01
-122.38,34.46,2003-10-02
-122.38,34.46,2003-10-03
-122.44,34.53,2003-10-04
-122.64,34.73,2003-10-05
-122.88,34.91,2003-10-06
-122.92,34.9,2003-10-07
-122.73,34.71,2003-10-08
-122.54,34.56,2003-10-09
-122.44,34.48,2003-10-10
-122.47,34.49,2003-10-11
-122.64,34.6,2003-10-12
-122.98,34.82,2003-10-13
-123.31,35.02,2003-10-14
-123.49,35.1,2003-10-15
-123.52,35.09,2003-10-16
-123.37,34.96,2003-10-17
-123.15,34.79,2003-10-18
-122.92,34.65,2003-10-19
-122.67,34.46,2003-10-20
-122.29,34.19,2003-10-21
-121.99,34,2003-10-22
-121.79,33.9,2003-10-23
-121.67,33.86,2003-10-24
-121.54,33.78,2003-10-25
-121.45,33.71,2003-10-26
-121.3,33.56,2003-10-27
-121.1,33.37,2003-10-28
-120.84,33.09,2003-10-29
-120.44,32.68,2003-10-30
-120.24,32.42,2003-10-31
-121.2919488,33.34032647,2004-10-01
-121.3531651,33.36221184,2004-10-02
-121.5544799,33.44264707,2004-10-03
-121.4414412,33.48282458,2004-10-04
-121.3082409,33.44669773,2004-10-05
-121.1678187,33.41419853,2004-10-06
-120.9438059,33.32347947,2004-10-07
-121.0044355,33.2685773,2004-10-08
-121.110165,33.28886129,2004-10-09
-121.1513341,33.26257155,2004-10-10
-121.2704874,33.2243558,2004-10-11
-121.4229959,33.2041161,2004-10-12
-121.5121072,33.14715961,2004-10-13
-121.5269961,33.03162752,2004-10-14
-121.5396328,32.9019241,2004-10-15
-121.5707009,32.78123509,2004-10-16
-121.6459073,32.66471019,2004-10-17
-121.890052,32.66303399,2004-10-18
-121.5448745,32.62482766,2004-10-19
-121.1217455,32.46144421,2004-10-20
-120.9054815,32.31354387,2004-10-21
-120.6966657,32.18984709,2004-10-22
-120.9065464,32.11310373,2004-10-23
-121.4188482,32.17601739,2004-10-24
-121.9740817,32.32317045,2004-10-25
-122.1834661,32.47539745,2004-10-26
-122.0291843,32.48334647,2004-10-27
-121.9445555,32.43883309,2004-10-28
-121.8810214,32.39182259,2004-10-29
-121.8344891,32.33922713,2004-10-30
-121.8704364,32.27634691,2004-10-31
-122.17,33.7,2004-10-01
-122.16,33.59,2004-10-02
-122.06,33.41,2004-10-03
-121.9,33.19,2004-10-04
-121.81,33,2004-10-05
-121.55,32.64,2004-10-06
-121.4,32.38,2004-10-07
-121.31,32.19,2004-10-08
-121.11,31.93,2004-10-09
-121.11,31.86,2004-10-10
-121.08,31.8,2004-10-11
-121.11,31.82,2004-10-12
-121.16,31.85,2004-10-13
-121.23,31.9,2004-10-14
-121.15,31.83,2004-10-15
-121.07,31.81,2004-10-16
